"Polygon/Station"	"Tributary/Marsh"	"Bay Region"	"Slough/Creek/Pond"
"BAIR 1"	"BAIR ISLAND"	"South Bay"	
"BAIR 2"	"BAIR ISLAND"	"South Bay"	
"BOA LAU"	"BAIR ISLAND"	"South Bay"	
"CORK 1"	"BAIR ISLAND"	"South Bay"	"Corkscrew Slough"
"CORK 2"	"BAIR ISLAND"	"South Bay"	"Corkscrew Slough"
"CORK 3"	"BAIR ISLAND"	"South Bay"	"Corkscrew Slough"
"GOLD 1"	"BAIR ISLAND"	"South Bay"	
"GOLD 2"	"BAIR ISLAND"	"South Bay"	
"GOLD 3"	"BAIR ISLAND"	"South Bay"	
"GOLD 4"	"BAIR ISLAND"	"South Bay"	
"IB 1"	"BAIR ISLAND"	"South Bay"	
"IB 2"	"BAIR ISLAND"	"South Bay"	
"RED 1"	"BAIR ISLAND"	"South Bay"	
"SF2 O"	"BAIR ISLAND"	"South Bay"	
"STE 1"	"BAIR ISLAND"	"South Bay"	
"STE 2"	"BAIR ISLAND"	"South Bay"	
"STE 3"	"BAIR ISLAND"	"South Bay"	
"NB-430"	"Carquinez"	"North Bay"	
"NB-440"	"Carquinez"	"North Bay"	
"NB-450"	"Carquinez"	"North Bay"	
"NB-460"	"Carquinez"	"North Bay"	
"NB-470"	"Carquinez"	"North Bay"	
"NB-480"	"Carquinez"	"North Bay"	
"NB-490"	"Carquinez"	"North Bay"	
"E9"	"EDEN LANDING"	"South Bay"	
"E9O"	"EDEN LANDING"	"South Bay"	
"E9O"	"EDEN LANDING"	"South Bay"	
"MEC 1"	"EDEN LANDING"	"South Bay"	
"MEC 2"	"EDEN LANDING"	"South Bay"	
"MEC 3"	"EDEN LANDING"	"South Bay"	
"OAL 1"	"EDEN LANDING"	"South Bay"	
"OAL 2"	"EDEN LANDING"	"South Bay"	
"OAL 3"	"EDEN LANDING"	"South Bay"	
"NB-980"	"Gallinas"	"North Bay"	
"NB-990"	"Gallinas"	"North Bay"	
"NB-100"	"NAPA"	"North Bay"	
"NB-120"	"NAPA"	"North Bay"	
"NB-130"	"NAPA"	"North Bay"	
"NB-140"	"NAPA"	"North Bay"	
"NB-150"	"NAPA"	"North Bay"	
"NB-160"	"NAPA"	"North Bay"	
"NB-170"	"NAPA"	"North Bay"	
"NB-180"	"NAPA"	"North Bay"	
"NB-190"	"NAPA"	"North Bay"	
"NB-200"	"NAPA"	"North Bay"	
"NB-210"	"NAPA"	"North Bay"	
"NB-220"	"NAPA"	"North Bay"	
"NB-230"	"NAPA"	"North Bay"	
"NB-240"	"NAPA"	"North Bay"	
"NB-250"	"NAPA"	"North Bay"	
"NB-260"	"NAPA"	"North Bay"	
"NB-270"	"NAPA"	"North Bay"	
"NB-280"	"NAPA"	"North Bay"	
"NB-290"	"NAPA"	"North Bay"	
"NB-300"	"NAPA"	"North Bay"	
"NB-310"	"NAPA"	"North Bay"	
"NB-320"	"NAPA"	"North Bay"	
"NB-330"	"NAPA"	"North Bay"	
"NB-340"	"NAPA"	"North Bay"	
"NB-350"	"NAPA"	"North Bay"	
"NB-360"	"NAPA"	"North Bay"	
"NB-370"	"NAPA"	"North Bay"	
"NB-380"	"NAPA"	"North Bay"	
"NB-390"	"NAPA"	"North Bay"	
"NB-400"	"NAPA"	"North Bay"	
"NB-410"	"NAPA"	"North Bay"	
"NB-420"	"NAPA"	"North Bay"	
"NB-201"	"NAPA"	"North Bay"	"Horseshoe Bend"
"NB-203"	"NAPA"	"North Bay"	"Horseshoe Bend"
"NB-242"	"NAPA"	"North Bay"	"Steamboat Slough"
"NB-244"	"NAPA"	"North Bay"	"Steamboat Slough"
"NB-246"	"NAPA"	"North Bay"	"Steamboat Slough"
"NB-252"	"NAPA"	"North Bay"	"Fagan Slough"
"NB-254"	"NAPA"	"North Bay"	"Fagan Slough"
"NB-256"	"NAPA"	"North Bay"	"Fagan Slough"
"NB-271"	"NAPA"	"North Bay"	"Mud Slough (Napa)"
"NB-273"	"NAPA"	"North Bay"	"Mud Slough (Napa)"
"NB-275"	"NAPA"	"North Bay"	"Mud Slough (Napa)"
"NB-281"	"NAPA"	"North Bay"	"Napa Slough"
"NB-283"	"NAPA"	"North Bay"	"Napa Slough"
"NB-285"	"NAPA"	"North Bay"	"Napa Slough"
"NB-287"	"NAPA"	"North Bay"	"Napa Slough"
"NB-289"	"NAPA"	"North Bay"	"Napa Slough"
"NB-341"	"NAPA"	"North Bay"	"South Slough"
"NB-343"	"NAPA"	"North Bay"	"South Slough"
"NB-347"	"NAPA"	"North Bay"	"South Slough"
"NB-361"	"NAPA"	"North Bay"	"Dutchman Slough"
"NB-363"	"NAPA"	"North Bay"	"Dutchman Slough"
"NB-365"	"NAPA"	"North Bay"	"Dutchman Slough"
"NB-367"	"NAPA"	"North Bay"	"Dutchman Slough"
