"ID"	"OldRecord."	"Survey"	"Method"	"TideText"	"TideHeight"	"Polygon/Station"	"Lat"	"Long"	"Date"	"Time"	"Replicate"	"Rep/Month"	"BegSurfTemp"	"BegBotTemp"	"EndSurfTemp"	"EndBotTemp"	"BegSurfSalin"	"BegBotSalin"	"EndSurfSalin"	"EndBotSalin"	"BegSurfCond"	"BegBotCond"	"EndSurfCond"	"EndBotCond"	"BegSecchi"	"EndSecchi"	"BegSurfDO(mg/L)"	"BegBotDO(mg/L)"	"EndSurfDO(mg/L)"	"EndBotDO(mg/L)"	"BegSurfDO%"	"BegBotDO%"	"EndSurfDO%"	"EndBotDO%"	"BegNTU"	"EndNTU"	"BegPH"	"EndPH"	"Depth"	"TowDuration"	"TowDistance"	"Flowmeter Start"	"Flowmeter Stop"	"Comments"	"DataEntry"	"FlowMeterDifference"	"SampledVolume"	"QC"
1.00	1.00	7.00	"LOT"	"Flood"	3.19	"ALV 1"			7/23/2010 0:00:00	12/30/1899 9:50:00	1.00	1.00	20.10				11.00				18650.00				22.00		6.42				73.00								5.44	5.00								
2.00	2.00	7.00	"LOT"	"Flood"	4.56	"ALV 2"			7/23/2010 0:00:00	12/30/1899 10:31:00	1.00	1.00	21.50				16.40				24970.00						4.10				50.70								6.95	5.00								
3.00	3.00	7.00	"LOT"	"Flood"	5.39	"ALV 3"			7/23/2010 0:00:00	12/30/1899 11:08:00	1.00	1.00	21.70				22.40				33280.00				21.00		5.20				67.30								9.31	5.00								
4.00	4.00	7.00	"LOT"	"Flood"	6.13	"COY 4"			7/23/2010 0:00:00	12/30/1899 11:38:00	1.00	1.00	21.90				20.00				29770.00				23.00		4.90				62.50								2.88	5.00								
5.00	5.00	7.00	"LOT"	"Flood"	6.82	"COY 3"			7/23/2010 0:00:00	12/30/1899 12:15:00	1.00	1.00	21.80				24.10				35000.00				20.00		5.50				72.90								10.69	5.00								
6.00	6.00	7.00	"LOT"	"Flood"	6.99	"COY 2"			7/23/2010 0:00:00	12/30/1899 12:34:00	1.00	1.00	22.40				19.40				29390.00				28.00		4.90				63.30								10.69	5.00								
7.00	7.00	7.00	"LOT"	"High"	7.04	"A21 1"			7/23/2010 0:00:00	12/30/1899 12:54:00	1.00	1.00	21.70				21.10				30300.00				22.00		4.78				64.50								5.01	5.00								
8.00	8.00	7.00	"LOT"	"Ebb"	6.99	"A21 2"			7/23/2010 0:00:00	12/30/1899 13:14:00	1.00	1.00	21.90				28.80				28070.00				22.00		4.20				55.00								5.83	5.00								
9.00	9.00	7.00	"LOT"	"Ebb"	6.92	"A21 3"			7/23/2010 0:00:00	12/30/1899 13:27:00	1.00	1.00	15.90								24350.00				24.00		7.10				96.00								3.60	5.00								
10.00	10.00	7.00	"LOT"	"Flood"		"BAIR 1"			7/24/2010 0:00:00	7/24/2010 9:09:00	1.00	1.00	20.50				27.90				40280.00				51.00		6.35				83.10								32.08	10.00								
