ID	OldRecord.	Survey	Method	TideText	TideHeight	Polygon/Station	Date	Time	Replicate	Rep/Month	BegSurfTemp	BegBotTemp	EndSurfTemp	EndBotTemp	BegSurfSalin	BegBotSalin	EndSurfSalin	EndBotSalin	BegSurfCond	BegBotCond	EndSurfCond	EndBotCond	BegSecchi	EndSecchi	BegSurfDO(mg/L)	BegBotDO(mg/L)	EndSurfDO(mg/L)	EndBotDO(mg/L)	BegSurfDO%	BegBotDO%	EndSurfDO%	EndBotDO%	BegNTU	EndNTU	BegPH	EndPH	Depth	TowDuration	TowDistance	Flowmeter Start	Flowmeter Stop	Comments	DataEntry	FlowMeterDifference	SampledVolume	AMESHA	AMPHIPOD	AMPHPD	ARRGOB	ASIMUS	BARSUR	BATRAY	BAYGOB	BAYPIP	BLUEGI	BONSCU	BROROC	BROSMO	CALHAL	CALLIA	CALTON	CANTEN	CGRACI	CHAGOB	CHEGOB	CHISAL	CJORDA	CMAENA	CMAGIS	CORBIC	CORBUL	CPRODU	CRANFR	CRANNC	CRANNM	CRANSP	DECORC	DIATUR	DWAPER	ENGSOL	EXOPAL	HEMIGR	HEPTSTI	HETERO	HOREGO	IOBSOL	ISOPOD	JACKSM	JELLYF	LAMSPP	LEOSHA	LONMUD	LONSME	LSTYLI	MACOMA	MCALIF	MISSIL	MSENHO	MUSBLE	MUSCUL	MUSSEN	MYSID	MYSIDR	MYTILS	NO CATCH	NORANC	NUDIBR	OLURID	PACHER	PACLAM	PACMAC	PACSAN	PACSSC	PALAEM	PHILIN	PILEWR	PILPER	PLAMID	POLYCH	PPRODU	PRISCU	RAIKIL	RHARRI	RIDGEM	RUBSEA	SACSUC	SADGUN	SANSOL	SANSPP	SHIGOB	SHIPER	SHOGOB	SHOGUI	SHOSNA	SNAILS	SPESAN	SPLITT	SPONGE	STAFLO	STRBAS	STRMUL	TAPJAP	THRSHA	THRSTI	TOPSME	TULPER	TUNICA	UCINER	UNID Clam	UNID CRAB	UNID GOBY	UNID LARVAL	UNID NUD	WALSUR	WESMOS	WHICRO	WHISEA	WHISTU	YELGOB	YELSEE
2		1	SLS			NB-252	1/3/2015	12/30/1899 9:11:00		1	7.4	NA	NA	NA	4.8	NA	NA	NA	5688	NA	NA	NA	21	NA	9.85	NA	NA	NA	84.3	NA	NA	NA	NA	NA	NA	NA	4.2	10											NA			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	NA			206			NA	NA					NA			1	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			67	
3		1	SLS			NB-520	1/3/2015	12/30/1899 11:33:00		1	6.8	NA	NA	NA	2	NA	NA	NA	1930	NA	NA	NA	22	NA	10.6	NA	NA	NA	86.6	NA	NA	NA	NA	NA	NA	NA	5.71	10											NA			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	NA			14			NA	NA					NA			3	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			6	
4		1	SLS			NB-570	1/3/2015	12/30/1899 12:14:00		1	7.1	NA	NA	NA	4.2	NA	NA	NA	5121	NA	NA	NA	NA	NA	10.03	NA	NA	NA	84	NA	NA	NA	NA	NA	NA	NA	11.85	10											NA			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	NA			49			NA	NA					NA			4	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			4	
25		1	SLS		2.82	NB-720	1/9/2015	12/30/1899 10:27:00		1	6.9	NA	NA	NA	1.7	NA	NA	NA	2748	NA	NA	NA	26	NA	8.86	NA	NA	NA	93.6	NA	NA	NA	NA	NA	NA	NA	10.4	10											NA			NA		NA					NA		NA				NA																							NA				NA	1				NA								NA	NA			66			NA	NA					NA			1	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			8	
29		1	SLS	Flooding	4.34	NB-800	1/9/2015	12/30/1899 13:15:00		1	8.28	NA	NA	NA	4.7	NA	NA	NA	7345	NA	NA	NA	18	NA	7.93	NA	NA	NA	86	NA	NA	NA	NA	NA	NA	NA	11.1	10											NA			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	NA			67			NA	NA					NA			NA	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			18	
31		1	SLS		5.72	NB-770	1/9/2015	12/30/1899 15:30:00		1	8.44	NA	NA	NA	6.5	NA	NA	NA	9902	NA	NA	NA	19	NA	8.34	NA	NA	NA	93	NA	NA	NA	NA	NA	NA	NA	10.7	10											NA			NA		NA					NA		NA				NA																							NA				1	NA				NA								NA	NA			28			NA	NA					NA			NA	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			25	
33		1	SLS		2.62	NB-220	1/11/2015	12/30/1899 10:10:00		1	10.4	NA	10.3	NA	6.3	NA	6.8	NA	7924	NA	8580	NA	48	NA	8.6	NA	8.8	NA	79.8	NA	81.5	NA	NA	NA	NA	NA	15.8	10											NA			NA		NA					NA		NA				NA																							NA				1	4				NA								NA	1			306			NA	NA					NA			5	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			64	
34		1	SLS		2.53	NB-271	1/11/2015	12/30/1899 10:46:00		1	10.4	NA	NA	NA	8.3	NA	NA	NA	10341	NA	NA	NA	37	NA	7.9	NA	NA	NA	74	NA	NA	NA	NA	NA	NA	NA	7.1	10											NA			NA		NA					NA		NA				NA																							NA				1	NA				NA								NA	NA			125			NA	NA					NA			2	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			66	
35		1	SLS	Flooding	2.59	NB-283	1/11/2015	12/30/1899 11:34:00		1	10.7	NA	10.6	NA	8.6	NA	8.8	NA	10682	NA	10962	NA	35	NA	8.3	NA	8.7	NA	78	NA	82	NA	NA	NA	NA	NA	16.3	10											1			NA		NA					NA		NA				NA																							NA				1	1				NA								NA	NA			136			NA	NA					NA			5	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			202	
36		1	SLS	Flooding	2.71	NB-283	1/11/2015	12/30/1899 12:02:00		1	11.1	NA	NA	NA	8.8	NA	NA	NA	11135	NA	NA	NA	25	NA	7.39	NA	NA	NA	70.7	NA	NA	NA	NA	NA	NA	NA	8.12	10											NA			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	NA			63			NA	NA					NA			1	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			15	
37		1	SLS	Flooding	3.46	NB-120	1/11/2015	12/30/1899 13:30:00		1	10.5	NA	NA	NA	0.5	NA	NA	NA	1034	NA	NA	NA	80	NA	9.9	NA	NA	NA	90.4	NA	NA	NA	NA	NA	NA	NA	19.3	10											NA			NA		NA					NA		NA				NA																							NA				1	2				NA								NA	NA			14			NA	NA					NA			113	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			3	
38		2	SLS			NB-720	1/22/2015	12/30/1899 8:52:00		1	10.9	NA	NA	NA	2.7	NA	NA	NA	3682	NA	NA	NA	29	NA	7.98	NA	NA	NA	72.9	NA	NA	NA	NA	NA	NA	NA	8.52	10											NA			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	NA			13			NA	NA					NA			8	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			16	
40		2	SLS			NB-800	1/22/2015	12/30/1899 11:17:00		1	12	NA	NA	NA	7.2	NA	NA	NA	9395	NA	NA	NA	22	NA	8.45	NA	NA	NA	80.2	NA	NA	NA	NA	NA	NA	NA	9	10											NA			NA		NA					NA		NA				NA																							NA				NA	4				NA								NA	NA			506			NA	NA					NA			NA	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			30	
41		2	SLS			NB-750	1/22/2015	12/30/1899 12:00:00		1	11.7	NA	NA	NA	5.2	NA	NA	NA	6925	NA	NA	NA	23	NA	7.54	NA	NA	NA	70.9	NA	NA	NA	NA	NA	NA	NA	14.8	10											NA			NA		NA					NA		NA				NA																							NA				1	2				NA								NA	NA			336			NA	NA					NA			2	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			46	
61		2	SLS			NB-570	1/26/2015	12/30/1899 9:18:00		1	10.4	NA	10.7	NA	8	NA	7.5	NA	9919	NA	9482	NA	18	NA	7.61	NA	NA	NA	71.5	NA	NA	NA	NA	NA	NA	NA	8.15	10											NA			NA		NA					NA		NA				NA																							NA				NA	NA				NA								NA	NA			536			NA	NA					NA			304	NA				NA				NA	NA	NA					NA		NA	NA				NA	NA									NA		NA			200	
