Polygon/Station	longitude	latitude	
A17	-121.97397800	37.45381100	
A19 1	-121.96486000	37.46358000	
A19 3	-121.95148400	37.46719800	
A19 4	-121.95250000	37.46251000	
A19 5	-121.95221600	37.46238200	
A19.1	-121.96486000	37.46358000	
A19-1	-121.96486000	37.46358000	
A19-3	-121.95148400	37.46719800	
A19-4	-121.95250000	37.46251000	
A21 1	-121.98274000	37.46601000	
A21 2	-121.98104000	37.46221000	
A21 2 Middle	-121.97788300	37.46928500	
A21 4	-121.97608000	37.46187000	
A21 5	-121.97676400	37.46169200	
A21-1	-121.98274000	37.46601000	
A21-4	-121.97608000	37.46187000	
A6	-122.02489000	37.45570000	
ALV 1	-121.98306000	37.42966000	
ALV 2	-121.99992000	37.44000000	
ALV 3	-122.02244000	37.46243000	
ALV-1	-121.98306000	37.42966000	
ALV-2	-121.99992000	37.44000000	
ALV-3	-122.02244000	37.46243000	
ART 1	-121.96207000	37.44455000	
ART 2	-121.96597000	37.45264000	
ART 3	-121.96461000	37.45920000	
ART 4	-121.96461000	37.45920000	
ART-1	-121.96207000	37.44455000	
ART-2	-121.96597000	37.45264000	
ART-3	-121.96461000	37.45920000	
COY 1	-121.95162000	37.46141000	
COY 2	-121.98019000	37.46041000	
COY 3	-121.97658000	37.46024000	
COY 4	-122.03674000	37.46186000	
COY 5	-122.04193400	37.45849500	
COY-1	-121.95162000	37.46141000	
COY-2	-121.98019000	37.46041000	
COY-3	-121.97658000	37.46024000	
COY-4	-122.03674000	37.46186000	
DUMP 1	-121.94421000	37.45332000	
DUMP-1	-121.94421000	37.45332000	
FAG 1	-122.29278300	38.21210000	
FAG-1	-122.29278300	38.21210000	
Horseshoe Bend 1	-122.29403000	38.25207000	
MUD 1	-122.32375000	38.20426700	
NAP 1	-122.34761700	38.19058300	
NAP 2	-122.34260000	38.18983300	
NAP 3	-122.28629000	38.26836000	
NAP 4	-122.28640000	38.25985000	
NAP 5	-122.28762000	38.23605000	
NAP 6	-122.29712000	38.23093000	
NAP 7	-122.31002000	38.22124000	
NAP 8	-122.29300000	38.21204000	
NAP-2	-122.34260000	38.18983300	
NAP-3	-122.28629000	38.26836000	
NAPR 1	-122.28600000	38.26634000	
NAPR 2	-122.29369000	38.25166000	
NAPR 3	-122.30267000	38.22690000	
NAPR 4	-122.30888000	38.21390000	
NAPR 5	-122.31477000	38.19768000	
NAPR-1	-122.28600000	38.26634000	
NAPR2	-122.29369000	38.25166000	
NAPR-2	-122.29369000	38.25166000	
NAPR-5	-122.31477000	38.19768000	
NAPS 1	-122.32123000	38.18413000	
NAPS 2	-122.32746000	38.19069000	
NAPS 3	-122.33732000	38.19100000	
NAPS 4	-122.34489000	38.19001000	
PET 1	-122.61255300	38.22779200	
PET 10	-122.59334000	38.21919000	
PET 2	-122.58316700	38.21453300	
PET 3	-122.56541700	38.20938300	
PET 4	-122.56821700	38.20366700	
PET 5	-122.54738300	38.19443300	
PET 6	-122.51256000	38.12967000	
PET 7	-122.52125000	38.14198000	
PET 8	-122.53321000	38.16699000	
PET 9	-122.54273000	38.18334000	
POND 5 1	-122.32345000	38.18270000	
POND 5 2	-122.32868300	38.18728300		
SAN 1	-122.47717600	38.10536400	
SON 1	-122.42719000	38.22847000	
SON 2	-122.42696000	38.21763000	
SON 3	-122.40447000	38.18842000	
SON 4	-122.41480000	38.16997000	
SON 5	-122.40493100	38.18833100	
SON 6	-122.41610300	38.17619700	
SON 7	-122.41957600	38.16118100	
SON 8	-122.40498800	38.15251300	
Spider Slough	-122.41283000	38.21991000	
SPIDER SLOUGH	-122.41283000	38.21991000	
STEM 1	-122.31078300	38.21971700	
UCOY 1	-121.93987000	37.46289000	
UCOY 1.5	-121.94720900	37.46721600	
UCOY 2	-121.94620000	37.46411000	
UCOY-1	-121.93987000	37.46289000	
UCOY-2	-121.94620000	37.46411000	
UNAP 1	-122.28218000	38.29662000	
UNAP 2	-122.28218000	38.28177000	
UNAP 3	-122.28463000	38.26511000	
UNAP 4	-122.28541000	38.24458000	
UNAP 5	-122.28762000	38.23605000	
UNAP 6	-122.29712000	38.23093000	
UNAP 7	-122.31002000	38.22124000	
UNAP 8	-122.31477000	38.19768000	
USON 1	-122.42185000	38.22195000	
USON 2	-122.39810000	38.20076700	
USON 3	-122.42747000	38.21669000	
USON 4	-122.40460000	38.20691000	
USON-HWY 12	-122.43023000	38.23308000	
NB-100	-122.27759890	38.31192920	
NB-110	-122.27957380	38.30790339	
NB-120	-122.27919400	38.30314331	
NB-130	-122.28316920	38.29926941	
NB-140	-122.28197920	38.29066075	
NB-150	-122.28570120	38.28276104	
NB-160	-122.28261220	38.27562092	
NB-170	-122.28600500	38.26807568	
NB-180	-122.28595430	38.25974554	
NB-190	-122.28476430	38.25113688	
NB-203	-122.28992950	38.25387140	
NB-201	-122.28922060	38.24926323	
NB-200	-122.28559990	38.24338909	
NB-210	-122.28772670	38.23356509	
NB-220	-122.29722160	38.23062802	
NB-230	-122.30674170	38.22591858	
NB-246	-122.30246270	38.22531091	
NB-244	-122.30051310	38.22067743	
NB-242	-122.30433640	38.21844930	
NB-240	-122.31061560	38.21753780	
NB-250	-122.30666580	38.20933425	
NB-252	-122.30322230	38.21399306	
NB-254	-122.29251210	38.21201813	
NB-256	-122.29142340	38.21837334	
NB-260	-122.31190690	38.20194094	
NB-270	-122.31335010	38.19226885	
NB-271	-122.32011050	38.19609211	
NB-273	-122.32451610	38.20227009	
NB-275	-122.31998390	38.20690357	
NB-280	-122.31259050	38.18457170	
NB-281	-122.32190820	38.18482490	
NB-283	-122.32874440	38.19267397	
NB-285	-122.33831520	38.19080032	
NB-287	-122.34834180	38.19095224	
NB-289	-122.35540600	38.19695298	
NB-290	-122.30281720	38.17986226	
NB-300	-122.29263870	38.17717838	
NB-310	-122.29127150	38.16613905	
NB-320	-122.29461360	38.15702400	
NB-330	-122.29005610	38.14963068	
NB-340	-122.27952320	38.14360462	
NB-341	-122.29430980	38.14259183	
NB-343	-122.30615940	38.14137649	
NB-345	-122.31294500	38.14590870	
NB-347	-122.31874320	38.15018771	
NB-341POND	-122.29286660	38.13881922	
NB-343POND	-122.30365270	38.13785707	
NB-345POND	-122.31535040	38.14307291	
NB-347POND	-122.32451610	38.14251588	
NB-350	-122.27737100	38.13335019	
NB-360	-122.27990300	38.12641262	
NB-361	-122.29038530	38.12160190	
NB-363	-122.30008270	38.12499472	
NB-365	-122.30598210	38.12919777	
NB-367	-122.31410970	38.13656577	
NB-369	-122.32071810	38.13818623	
NB-369POND	-122.32487050	38.13795835	
NB-367POND	-122.31352740	38.13828750	
NB-365POND	-122.30271590	38.13291975	
NB-361POND	-122.29094230	38.12681773	
NB-370	-122.27721910	38.11539860	
NB-380	-122.27228180	38.10863827	
NB-430	-122.24265000	38.06886120	
NB-450	-122.24245000	38.06156910	
NB-460	-122.25400000	38.06572150	
NB-470	-122.25430000	38.05741670	
NB-480	-122.26473000	38.06268320	
NB-490	-122.26635000	38.05113750	
NB-1000	-122.48638000	38.10648610	
NB-1001	-122.48425000	38.10972700	
NB-1002	-122.48162000	38.11367680	
NB-1003	-122.48425000	38.09686460	
NB-1004	-122.47868000	38.10111830	
NB-1005	-122.47423000	38.10729630	
NB-1006	-122.46764000	38.11317040	
NB-1007	-122.48061000	38.08430610	
NB-1008	-122.47088000	38.09494030	
NB-1009	-122.46339000	38.10273880	
NB-1010	-122.45610000	38.11155000	
NB-1011	-122.40161000	38.14942810	
NB-1012	-122.40333000	38.14092070	
NB-1013	-122.39330000	38.14173090	
NB-1014	-122.38935000	38.14730120	
NB-1015	-122.41123000	38.13190690	
NB-1016	-122.39796000	38.13251460	
NB-1017	-122.38591000	38.13575550	
NB-1018	-122.37700000	38.14132580	
NB-1019	-122.41771000	38.12532380	
NB-1020	-122.39655000	38.12593150	
NB-1021	-122.37609000	38.12826090	
NB-1022	-122.36667000	38.13626190	
NB-1023	-122.35543000	38.13099540	
NB-1024	-122.34216000	38.12755200	
NB-1025	-122.43928000	38.11539860	
NB-1026	-122.42723000	38.11661390	
NB-1027	-122.41417000	38.11722160	
NB-1028	-122.40151000	38.11813310	
NB-1029	-122.38854000	38.11793050	
NB-1030	-122.37548000	38.11863950	
NB-1031	-122.36039000	38.11904460	
NB-1032	-122.34722000	38.11944970	
NB-1033	-122.33578000	38.11904460	
NB-1034	-122.32504000	38.11934840	
NB-1035	-122.44972000	38.10760010	
NB-1036	-122.44020000	38.10780270	
NB-1037	-122.42754000	38.10851160	
NB-1038	-122.41356000	38.10891670	
NB-1039	-122.40222000	38.10922060	
NB-1040	-122.38905000	38.10982820	
NB-1041	-122.37507000	38.11023340	
NB-1042	-122.36059000	38.11084100	
NB-1043	-122.34682000	38.11124610	
NB-1044	-122.33436000	38.11185380	
NB-1045	-122.32292000	38.11215760	
NB-1046	-122.31309000	38.11236020	
NB-1047	-122.45053000	38.09919400	
NB-1048	-122.44050000	38.10040940	
NB-1049	-122.42713000	38.10121960	
NB-1050	-122.41386000	38.10111830	
NB-1051	-122.40181000	38.10142210	
NB-1052	-122.38925000	38.10182730	
NB-1053	-122.37528000	38.10243490	
NB-1054	-122.36079000	38.10284000	
NB-1055	-122.34662000	38.10334640	
NB-1056	-122.33416000	38.10324520	
NB-1057	-122.32221000	38.10385280	
NB-1058	-122.30712000	38.10365030	
NB-1059	-122.46217000	38.09129430	
NB-1060	-122.45134000	38.09210450	
NB-1061	-122.43969000	38.09271220	
NB-1062	-122.42693000	38.09261090	
NB-1063	-122.41417000	38.09240840	
NB-1064	-122.40191000	38.09311730	
NB-1065	-122.38905000	38.09402880	
NB-1066	-122.37507000	38.09352240	
NB-1067	-122.36140000	38.09433270	
NB-1068	-122.34631000	38.09473780	
NB-1069	-122.33355000	38.09504160	
NB-1070	-122.32130000	38.09534540	
NB-1071	-122.30813000	38.09554800	
NB-1072	-122.29618000	38.09585180	
NB-1073	-122.47425000	38.08028030	
NB-1074	-122.46372000	38.08190070	
NB-1075	-122.45136000	38.08240710	
NB-1076	-122.44032000	38.08291350	
NB-1077	-122.42706000	38.08331860	
NB-1078	-122.41440000	38.08382500	
NB-1079	-122.40194000	38.08352120	
NB-1080	-122.38827000	38.08463530	
NB-1081	-122.37550000	38.08483780	
NB-1082	-122.36011000	38.08524290	
NB-1083	-122.34613000	38.08595190	
NB-1084	-122.33358000	38.08615440	
NB-1085	-122.32112000	38.08655950	
NB-1086	-122.30785000	38.08676210	
NB-1087	-122.29539000	38.08666080	
NB-1088	-122.28597000	38.08554680	
NB-1089	-122.47800000	38.07187420	
NB-1090	-122.46341000	38.07248190	
NB-1091	-122.45156000	38.07197550	
NB-1092	-122.43982000	38.07288700	
NB-1093	-122.42716000	38.07339340	
NB-1094	-122.41379000	38.07339340	
NB-1095	-122.40163000	38.07410230	
NB-1096	-122.38928000	38.07471000	
NB-1097	-122.37500000	38.07511510	
NB-1098	-122.36001000	38.07501380	
NB-1099	-122.34529000	38.07495520	
NB-1100	-122.33365000	38.07566420	
NB-1101	-122.32058000	38.07637310	
NB-1102	-122.30742000	38.07647440	
NB-1102	-122.29476000	38.07627180	
NB-1104	-122.28129000	38.07708210	
NB-1105	-122.48020000	38.06189030	
NB-1106	-122.46369000	38.06219410	
NB-1107	-122.45123000	38.06239670	
NB-1108	-122.44009000	38.06259930	
NB-1109	-122.42723000	38.06300440	
NB-1110	-122.41416000	38.06330820	
NB-1111	-122.40171000	38.06340950	
NB-1112	-122.38874000	38.06391590	
NB-1113	-122.37517000	38.06401710	
NB-1114	-122.35978000	38.06462480	
NB-1115	-122.34610000	38.06472610	
NB-1116	-122.33314000	38.06482740	
NB-1117	-122.32068000	38.06523250	
NB-1118	-122.30772000	38.06523250	
NB-1119	-122.29516000	38.06604270	
NB-1120	-122.28017000	38.06624530	
NB-1121	-122.48870000	38.05014200	
NB-1122	-122.47817000	38.05074970	
NB-1123	-122.46440000	38.05105350	
NB-1124	-122.45153000	38.05176250	
NB-1125	-122.44029000	38.05166120	
NB-1126	-122.42713000	38.05155990	
NB-1127	-122.41335000	38.05196500	
NB-1128	-122.40130000	38.05237010	
NB-1129	-122.38864000	38.05257270	
NB-1130	-122.37507000	38.05287650	
NB-1131	-122.35988000	38.05277530	
NB-1132	-122.34550000	38.05328160	
NB-1133	-122.33395000	38.05419320	
NB-1134	-122.32068000	38.05399060	
NB-1135	-122.30742000	38.05388930	
NB-1136	-122.29486000	38.05429440	
NB-1137	-122.28037000	38.05480080	
NB-1138	-122.49022000	38.03981160	
NB-1139	-122.47766000	38.03971030	
NB-1140	-122.46288000	38.04031800	
NB-1141	-122.45123000	38.04031800	
NB-1142	-122.44039000	38.04072310	
NB-1143	-122.42702000	38.04143210	
NB-1144	-122.41366000	38.04153340	
NB-1145	-122.40150000	38.04183720	
NB-1146	-122.38874000	38.04183720	
NB-1147	-122.37527000	38.04203980	
NB-1148	-122.36038000	38.04244490	
NB-1149	-122.34600000	38.04254610	
NB-1150	-122.33294000	38.04274870	
NB-1151	-122.32058000	38.04355890	
NB-1152	-122.30742000	38.04305250	
NB-1153	-122.29567000	38.04376150	
NB-1154	-122.27997000	38.04416660	
NB-1155	-122.49105000	38.02863630	
NB-1156	-122.47681000	38.02891390	
NB-1157	-122.46330000	38.02946900	
NB-1158	-122.45099000	38.02891390	
NB-1159	-122.44035000	38.02946900	
NB-1160	-122.42657000	38.03011660	
NB-1161	-122.41380000	38.03030160	
NB-1162	-122.40131000	38.03094920	
NB-1163	-122.38882000	38.03131930	
NB-1164	-122.37550000	38.03178180	
NB-1165	-122.35959000	38.03159680	
NB-1166	-122.34590000	38.03233690	
NB-1167	-122.33332000	38.03233690	
NB-1168	-122.32064000	38.03270700	
NB-1169	-122.30769000	38.03298450	
NB-1170	-122.29511000	38.03316960	
NB-1171	-122.28262000	38.03363210	
NB-980	-122.50183000	38.01642440	
NB-990	-122.51113000	38.01822840	
NB-1172	-122.49054000	38.01899170	
NB-1173	-122.47722000	38.01658630	
NB-1174	-122.46316000	38.01876040	
NB-1175	-122.45081000	38.01931550	
NB-1176	-122.43994000	38.01913050	
NB-1177	-122.42671000	38.01954680	
NB-1178	-122.41376000	38.01968550	
NB-1179	-122.40154000	38.02014810	
NB-1180	-122.38859000	38.02028690	
NB-1181	-122.37490000	38.02070320	
NB-1182	-122.35996000	38.01954680	
NB-1183	-122.34516000	38.02102700	
NB-1184	-122.33406000	38.02148960	
NB-1185	-122.32073000	38.02139710	
NB-1186	-122.30704000	38.02065690	
NB-1187	-122.29372000	38.02241470	
NB-1188	-122.46311000	38.00983270	
NB-1189	-122.45072000	38.00964770	
NB-1190	-122.43989000	38.00909260	
NB-1191	-122.42629000	38.00964770	
NB-1192	-122.41353000	38.00992520	
NB-1193	-122.40122000	38.01066540	
NB-1194	-122.38873000	38.01048030	
NB-1195	-122.37476000	38.01094290	
NB-1196	-122.34571000	38.01075790	
NB-1197	-122.33322000	38.01020280	
NB-1198	-122.32138000	38.01196060	
NB-1199	-122.45941000	38.00159890	
NB-1200	-122.45081000	38.00011870	
NB-1201	-122.43980000	38.00039620	
NB-1202	-122.42648000	38.00011870	
NB-1203	-122.41325000	38.00002620	
NB-1204	-122.40141000	38.00030370	
NB-1205	-122.38855000	38.00002620	
NB-1206	-122.37347000	38.00039620	
NB-1207	-122.44803000	37.99253250	
NB-1208	-122.43998000	37.99114480	
NB-1209	-122.42574000	37.99049710	
NB-1210	-122.41371000	37.99068220	
NB-1211	-122.40104000	37.99105220	
NB-1212	-122.38855000	37.99095970	
NB-1213	-122.37162000	37.99123730	
NB-500	-122.44136564	38.22764714	
NB-510	-122.43839360	38.22572746	
NB-520	-122.42762720	38.22821379	
NB-522	-122.42564970	38.23124365	
NB-524	-122.43133935	38.23607754	
NB-530	-122.41978658	38.22728864	
NB-540	-122.42383410	38.22092825	
