"ID"	"FishCode"	"Count"
1.00	"AMPHPD"	0.00
1.00	"CORBUL"	2.00
1.00	"CRANSP"	18.00
1.00	"ISOPOD"	0.00
1.00	"MYSIDR"	0.00
1.00	"PACSSC"	38.00
1.00	"PALAEM"	3.00
1.00	"PRISCU"	7.00
1.00	"SACSUC"	1.00
1.00	"SHIGOB"	1.00
1.00	"YELGOB"	3.00
2.00	"AMPHPD"	0.00
2.00	"ARRGOB"	8.00
2.00	"CRANSP"	38.00
2.00	"ISOPOD"	2.00
2.00	"MYSIDR"	0.00
2.00	"NORANC"	4.00
2.00	"PACSSC"	25.00
2.00	"PALAEM"	15.00
2.00	"PRISCU"	2.00
2.00	"RAIKIL"	2.00
2.00	"THRSTI"	2.00
2.00	"YELGOB"	4.00
3.00	"AMPHPD"	0.00
3.00	"ARRGOB"	3.00
3.00	"CRANSP"	742.00
3.00	"ISOPOD"	3.00
3.00	"MYSIDR"	0.00
3.00	"NORANC"	5.00
3.00	"PACSSC"	1.00
3.00	"PALAEM"	11.00
3.00	"YELGOB"	10.00
4.00	"AMPHPD"	0.00
4.00	"CRANSP"	2.00
4.00	"ISOPOD"	1.00
4.00	"MYSIDR"	0.00
4.00	"NORANC"	12.00
5.00	"AMPHPD"	0.00
5.00	"BATRAY"	4.00
5.00	"CRANSP"	192.00
5.00	"ISOPOD"	2.00
5.00	"MYSIDR"	0.00
5.00	"NORANC"	7.00
5.00	"PALAEM"	38.00
6.00	"AMPHPD"	0.00
6.00	"ARRGOB"	4.00
6.00	"CRANSP"	53.00
6.00	"ISOPOD"	4.00
6.00	"MYSIDR"	0.00
6.00	"NORANC"	6.00
6.00	"PACSSC"	2.00
6.00	"PALAEM"	2.00
7.00	"AMPHPD"	0.00
7.00	"ARRGOB"	11.00
7.00	"CRANSP"	240.00
7.00	"ISOPOD"	3.00
7.00	"MYSIDR"	0.00
7.00	"NORANC"	9.00
7.00	"PACSSC"	6.00
7.00	"PALAEM"	10.00
7.00	"SNAILS"	2.00
7.00	"THRSTI"	1.00
7.00	"YELGOB"	5.00
8.00	"AMPHPD"	0.00
8.00	"ARRGOB"	14.00
8.00	"CRANSP"	19.00
8.00	"ISOPOD"	0.00
8.00	"MYSIDR"	0.00
8.00	"NORANC"	12.00
8.00	"PACSSC"	1.00
8.00	"PALAEM"	2.00
8.00	"SHIPER"	1.00
8.00	"SNAILS"	1.00
8.00	"YELGOB"	2.00
9.00	"AMPHPD"	0.00
9.00	"HOREGO"	2.00
9.00	"ISOPOD"	2.00
9.00	"MYSIDR"	0.00
9.00	"NORANC"	88.00
9.00	"PACSSC"	1.00
9.00	"SHIPER"	1.00
9.00	"THRSTI"	248.00
9.00	"TOPSME"	2.00
9.00	"YELGOB"	1.00
10.00	"AMPHPD"	0.00
10.00	"ARRGOB"	2.00
10.00	"CMAGIS"	1.00
10.00	"CRANSP"	192.00
10.00	"DECORC"	18.00
10.00	"ISOPOD"	2.00
10.00	"MYSIDR"	0.00
10.00	"NORANC"	1.00
10.00	"PALAEM"	3.00
10.00	"PHILIN"	5.00
10.00	"SHOGOB"	1.00
10.00	"TUNICA"	50.00
10.00	"YELGOB"	1.00
11.00	"AMPHPD"	0.00
11.00	"ARRGOB"	11.00
11.00	"BARSUR"	1.00
11.00	"CORBUL"	3.00
11.00	"CRANSP"	17.00
11.00	"HOREGO"	5.00
11.00	"ISOPOD"	2.00
11.00	"MYSIDR"	0.00
11.00	"NORANC"	7.00
11.00	"PACSSC"	5.00
11.00	"PHILIN"	3.00
11.00	"POLYCH"	1.00
11.00	"TUNICA"	1.00
11.00	"YELGOB"	2.00
12.00	"AMPHPD"	0.00
12.00	"ARRGOB"	3.00
12.00	"ASIMUS"	4.00
12.00	"BATRAY"	1.00
12.00	"CRANSP"	5.00
12.00	"DECORC"	6.00
12.00	"ISOPOD"	0.00
12.00	"LEOSHA"	1.00
12.00	"MYSIDR"	0.00
12.00	"NORANC"	4.00
12.00	"PACSSC"	2.00
12.00	"PHILIN"	1.00
12.00	"TOPSME"	1.00
13.00	"AMPHPD"	0.00
13.00	"ASIMUS"	2.00
13.00	"BATRAY"	2.00
13.00	"HOREGO"	3.00
13.00	"ISOPOD"	0.00
13.00	"MYSIDR"	0.00
13.00	"NORANC"	7.00
13.00	"SHIPER"	6.00
13.00	"TOPSME"	1.00
14.00	"AMPHPD"	0.00
14.00	"CRANSP"	5.00
14.00	"HOREGO"	1.00
14.00	"ISOPOD"	0.00
14.00	"LEOSHA"	1.00
14.00	"MYSIDR"	0.00
14.00	"NORANC"	59.00
14.00	"SHIPER"	11.00
14.00	"STAFLO"	1.00
14.00	"TOPSME"	1.00
