"RecordNumber"	"SerialNumber"	"StationNames"	"Date"	"FishCode"	"Time"	"Net"	"Fish ID'd in Field?"	"IDBy"	"RawCatchCount"	"NumberOfGridsSorted"	"AdjustedLabCount"	"IDDate"	"Comments"
2	"NA"	"NB-252"	1/3/2015 0:00:00	"PACHER"	12/30/1899 9:11:00	"SLS"	0		206	35.00	206.00		
2	"NA"	"NB-252"	1/3/2015 0:00:00	"PRISCU"	12/30/1899 9:11:00	"SLS"	0		1	35.00	1.00		
2	"NA"	"NB-252"	1/3/2015 0:00:00	"YELGOB"	12/30/1899 9:11:00	"SLS"	0		67	35.00	67.00		
3	"NA"	"NB-520"	1/3/2015 0:00:00	"PACHER"	12/30/1899 11:33:00	"SLS"	0		14	35.00	14.00		
3	"NA"	"NB-520"	1/3/2015 0:00:00	"PRISCU"	12/30/1899 11:33:00	"SLS"	0		3	35.00	3.00		
3	"NA"	"NB-520"	1/3/2015 0:00:00	"YELGOB"	12/30/1899 11:33:00	"SLS"	0		6	35.00	6.00		
4	"NA"	"NB-570"	1/3/2015 0:00:00	"PACHER"	12/30/1899 12:14:00	"SLS"	0		49	35.00	49.00		
4	"NA"	"NB-570"	1/3/2015 0:00:00	"PRISCU"	12/30/1899 12:14:00	"SLS"	0		4	35.00	4.00		
4	"NA"	"NB-570"	1/3/2015 0:00:00	"UNID LARVAL"	12/30/1899 12:14:00	"SLS"	0		9	35.00	9.00		
4	"NA"	"NB-570"	1/3/2015 0:00:00	"YELGOB"	12/30/1899 12:14:00	"SLS"	0		4	35.00	4.00		
10	"NA"	"SB-400"	1/4/2015 0:00:00	"LONMUD"	12/30/1899 8:40:00	"SLS"	0		2	35.00	2.00		
10	"NA"	"SB-400"	1/4/2015 0:00:00	"PACHER"	12/30/1899 8:40:00	"SLS"	0		1	35.00	1.00		
10	"NA"	"SB-400"	1/4/2015 0:00:00	"PACSSC"	12/30/1899 8:40:00	"SLS"	0		1	35.00	1.00		
10	"NA"	"SB-400"	1/4/2015 0:00:00	"UNID LARVAL"	12/30/1899 8:40:00	"SLS"	0		1	35.00	1.00		
10	"NA"	"SB-400"	1/4/2015 0:00:00	"YELGOB"	12/30/1899 8:40:00	"SLS"	0		69	35.00	69.00		
11	"NA"	"SB-410"	1/4/2015 0:00:00	"ARRGOB"	12/30/1899 9:09:00	"SLS"	0		31	8.75	124.00		
11	"NA"	"SB-410"	1/4/2015 0:00:00	"LONMUD"	12/30/1899 9:09:00	"SLS"	0		93	8.75	372.00		
11	"NA"	"SB-410"	1/4/2015 0:00:00	"PACHER"	12/30/1899 9:09:00	"SLS"	0		14	8.75	56.00		
11	"NA"	"SB-410"	1/4/2015 0:00:00	"PACSSC"	12/30/1899 9:09:00	"SLS"	0		1	8.75	4.00		
11	"NA"	"SB-410"	1/4/2015 0:00:00	"YELGOB"	12/30/1899 9:09:00	"SLS"	0		308	8.75	1232.00		
12	"NA"	"SB-140"	1/4/2015 0:00:00	"LONMUD"	12/30/1899 9:30:00	"SLS"	0		32	8.75	128.00		
12	"NA"	"SB-140"	1/4/2015 0:00:00	"PACSSC"	12/30/1899 9:30:00	"SLS"	0		3	8.75	12.00		
12	"NA"	"SB-140"	1/4/2015 0:00:00	"UNID GOBY"	12/30/1899 9:30:00	"SLS"	0		8	8.75	32.00		
12	"NA"	"SB-140"	1/4/2015 0:00:00	"YELGOB"	12/30/1899 9:30:00	"SLS"	0		276	8.75	1104.00		
13	"NA"	"SB-130"	1/4/2015 0:00:00	"LONMUD"	12/30/1899 10:00:00	"SLS"	0		4	4.37	32.00		
13	"NA"	"SB-130"	1/4/2015 0:00:00	"PACHER"	12/30/1899 10:00:00	"SLS"	0		1	4.37	7.99		
13	"NA"	"SB-130"	1/4/2015 0:00:00	"UNID GOBY"	12/30/1899 10:00:00	"SLS"	0		1	4.37	8.00		
13	"NA"	"SB-130"	1/4/2015 0:00:00	"YELGOB"	12/30/1899 10:00:00	"SLS"	0		66	4.37	527.63		
14	"NA"	"SB-720"	1/4/2015 0:00:00	"LONMUD"	12/30/1899 10:25:00	"SLS"	0		5	35.00	5.00		
14	"NA"	"SB-720"	1/4/2015 0:00:00	"UNID GOBY"	12/30/1899 10:25:00	"SLS"	0		3	35.00	3.00		
14	"NA"	"SB-720"	1/4/2015 0:00:00	"YELGOB"	12/30/1899 10:25:00	"SLS"	0		108	35.00	108.00		
22	"NA"	"SB-140"	1/4/2015 0:00:00	"LONMUD"	12/30/1899 13:35:00	"SLS"	0		17	8.75	68.00		
22	"NA"	"SB-140"	1/4/2015 0:00:00	"NORANC"	12/30/1899 13:35:00	"SLS"	0		1	8.75	4.00		
22	"NA"	"SB-140"	1/4/2015 0:00:00	"PACHER"	12/30/1899 13:35:00	"SLS"	0		21	8.75	84.00		
22	"NA"	"SB-140"	1/4/2015 0:00:00	"UNID GOBY"	12/30/1899 13:35:00	"SLS"	0		19	8.75	76.00		
22	"NA"	"SB-140"	1/4/2015 0:00:00	"YELGOB"	12/30/1899 13:35:00	"SLS"	0		247	8.75	988.00		
23	"NA"	"SB-130"	1/4/2015 0:00:00	"LONMUD"	12/30/1899 13:55:00	"SLS"	0		14	35.00	14.00		
23	"NA"	"SB-130"	1/4/2015 0:00:00	"NORANC"	12/30/1899 13:55:00	"SLS"	0		1	35.00	1.00		
23	"NA"	"SB-130"	1/4/2015 0:00:00	"PACHER"	12/30/1899 13:55:00	"SLS"	0		8	35.00	8.00		
23	"NA"	"SB-130"	1/4/2015 0:00:00	"UNID GOBY"	12/30/1899 13:55:00	"SLS"	0		15	35.00	15.00		
23	"NA"	"SB-130"	1/4/2015 0:00:00	"YELGOB"	12/30/1899 13:55:00	"SLS"	0		329	35.00	329.00		
24	"NA"	"SB-720"	1/4/2015 0:00:00	"LONMUD"	12/30/1899 14:20:00	"SLS"	0		1	8.75	4.00		
24	"NA"	"SB-720"	1/4/2015 0:00:00	"UNID GOBY"	12/30/1899 14:20:00	"SLS"	0		1	8.75	4.00		
24	"NA"	"SB-720"	1/4/2015 0:00:00	"YELGOB"	12/30/1899 14:20:00	"SLS"	0		27	8.75	108.00		
25	"NA"	"NB-720"	1/9/2015 0:00:00	"LONSME"	12/30/1899 10:27:00	"SLS"	0		1	35.00	1.00		"Mutliated. No Length."
25	"NA"	"NB-720"	1/9/2015 0:00:00	"PACHER"	12/30/1899 10:27:00	"SLS"	0		66	35.00	66.00		
25	"NA"	"NB-720"	1/9/2015 0:00:00	"PRISCU"	12/30/1899 10:27:00	"SLS"	0		1	35.00	1.00		
25	"NA"	"NB-720"	1/9/2015 0:00:00	"YELGOB"	12/30/1899 10:27:00	"SLS"	0		8	35.00	8.00		
27	"NA"	"NB-772"	1/9/2015 0:00:00	"PACHER"	12/30/1899 12:07:00	"SLS"	0		29	35.00	29.00		
27	"NA"	"NB-772"	1/9/2015 0:00:00	"YELGOB"	12/30/1899 12:07:00	"SLS"	0		11	35.00	11.00		
29	"NA"	"NB-800"	1/9/2015 0:00:00	"PACHER"	12/30/1899 13:15:00	"SLS"	0		67	35.00	67.00		
29	"NA"	"NB-800"	1/9/2015 0:00:00	"YELGOB"	12/30/1899 13:15:00	"SLS"	0		18	35.00	18.00		
30	"NA"	"NB-879"	1/9/2015 0:00:00	"PACHER"	12/30/1899 14:19:00	"SLS"	0		97	35.00	97.00		
30	"NA"	"NB-879"	1/9/2015 0:00:00	"SHOGOB"	12/30/1899 14:19:00	"SLS"	0		1	35.00	1.00		
30	"NA"	"NB-879"	1/9/2015 0:00:00	"YELGOB"	12/30/1899 14:19:00	"SLS"	0		31	35.00	31.00		
31	"NA"	"NB-770"	1/9/2015 0:00:00	"LONMUD"	12/30/1899 15:30:00	"SLS"	0		1	35.00	1.00		
31	"NA"	"NB-770"	1/9/2015 0:00:00	"PACHER"	12/30/1899 15:30:00	"SLS"	0		28	35.00	28.00		
31	"NA"	"NB-770"	1/9/2015 0:00:00	"YELGOB"	12/30/1899 15:30:00	"SLS"	0		25	35.00	25.00		
32	"NA"	"NB-212"	1/11/2015 0:00:00	"PACHER"	12/30/1899 9:45:00	"SLS"	0		165	35.00	165.00		
32	"NA"	"NB-212"	1/11/2015 0:00:00	"PRISCU"	12/30/1899 9:45:00	"SLS"	0		6	35.00	6.00		
32	"NA"	"NB-212"	1/11/2015 0:00:00	"YELGOB"	12/30/1899 9:45:00	"SLS"	0		36	35.00	36.00		
33	"NA"	"NB-220"	1/11/2015 0:00:00	"LONMUD"	12/30/1899 10:10:00	"SLS"	0		1	35.00	1.00		
33	"NA"	"NB-220"	1/11/2015 0:00:00	"LONSME"	12/30/1899 10:10:00	"SLS"	0		4	35.00	4.00		
33	"NA"	"NB-220"	1/11/2015 0:00:00	"NORANC"	12/30/1899 10:10:00	"SLS"	0		1	35.00	1.00		
33	"NA"	"NB-220"	1/11/2015 0:00:00	"PACHER"	12/30/1899 10:10:00	"SLS"	0		306	35.00	306.00		
33	"NA"	"NB-220"	1/11/2015 0:00:00	"PRISCU"	12/30/1899 10:10:00	"SLS"	0		5	35.00	5.00		
33	"NA"	"NB-220"	1/11/2015 0:00:00	"YELGOB"	12/30/1899 10:10:00	"SLS"	0		64	35.00	64.00		
34	"NA"	"NB-271"	1/11/2015 0:00:00	"LONMUD"	12/30/1899 10:46:00	"SLS"	0		1	35.00	1.00		
34	"NA"	"NB-271"	1/11/2015 0:00:00	"PACHER"	12/30/1899 10:46:00	"SLS"	0		125	35.00	125.00		
34	"NA"	"NB-271"	1/11/2015 0:00:00	"PRISCU"	12/30/1899 10:46:00	"SLS"	0		2	35.00	2.00		
34	"NA"	"NB-271"	1/11/2015 0:00:00	"YELGOB"	12/30/1899 10:46:00	"SLS"	0		66	35.00	66.00		
35	"NA"	"NB-283"	1/11/2015 0:00:00	"ARRGOB"	12/30/1899 11:34:00	"SLS"	0		1	35.00	1.00		
35	"NA"	"NB-283"	1/11/2015 0:00:00	"LONMUD"	12/30/1899 11:34:00	"SLS"	0		1	35.00	1.00		
35	"NA"	"NB-283"	1/11/2015 0:00:00	"LONSME"	12/30/1899 11:34:00	"SLS"	0		1	35.00	1.00		
35	"NA"	"NB-283"	1/11/2015 0:00:00	"PACHER"	12/30/1899 11:34:00	"SLS"	0		136	35.00	136.00		
35	"NA"	"NB-283"	1/11/2015 0:00:00	"PRISCU"	12/30/1899 11:34:00	"SLS"	0		5	35.00	5.00		
35	"NA"	"NB-283"	1/11/2015 0:00:00	"YELGOB"	12/30/1899 11:34:00	"SLS"	0		202	35.00	202.00		
36	"NA"	"NB-283"	1/11/2015 0:00:00	"PACHER"	12/30/1899 12:02:00	"SLS"	0		63	35.00	63.00		
36	"NA"	"NB-283"	1/11/2015 0:00:00	"PRISCU"	12/30/1899 12:02:00	"SLS"	0		1	35.00	1.00		
36	"NA"	"NB-283"	1/11/2015 0:00:00	"YELGOB"	12/30/1899 12:02:00	"SLS"	0		15	35.00	15.00		
