"RecordNumber"	"StationNames"	"Date"	"Time"	"Replicate"	"CableAngle"	"TowDuration"	"AvgTrawlDepth"	"Latitude"	"Longitude"	"TrackNote"
2	"NB-252"	1/3/2015 0:00:00	12/30/1899 9:11:00	"1"	10	12/30/1899 10:00:00	4.20	"38.2121"	"-122.292783"	
3	"NB-520"	1/3/2015 0:00:00	12/30/1899 11:33:00	"1"		12/30/1899 10:00:00	5.71	"38.22195"	"-122.42185"	
4	"NB-570"	1/3/2015 0:00:00	12/30/1899 12:14:00	"1"		12/30/1899 10:00:00	11.85	"38.200767"	"-122.3981"	
10	"SB-400"	1/4/2015 0:00:00	12/30/1899 8:40:00	"1"		12/30/1899 10:00:00	50.00	"37.44184"	"-121.95965"	
11	"SB-410"	1/4/2015 0:00:00	12/30/1899 9:09:00	"1"		12/30/1899 10:00:00	12.00	"37.44822"	"-121.96689"	
12	"SB-140"	1/4/2015 0:00:00	12/30/1899 9:30:00	"1"		12/30/1899 10:00:00	7.00	"37.46145"	"-121.967067"	
13	"SB-130"	1/4/2015 0:00:00	12/30/1899 10:00:00	"1"		12/30/1899 10:00:00	11.00	"37.463417"	"-121.962333"	
14	"SB-720"	1/4/2015 0:00:00	12/30/1899 10:25:00	"1"		12/30/1899 5:00:00	7.75	"37.463433"	"-121.966617"	
22	"SB-140"	1/4/2015 0:00:00	12/30/1899 13:35:00	"2"		12/30/1899 10:00:00	10.80	"37.461467"	"-121.966233"	
23	"SB-130"	1/4/2015 0:00:00	12/30/1899 13:55:00	"2"		12/30/1899 10:00:00	14.00			
24	"SB-720"	1/4/2015 0:00:00	12/30/1899 14:20:00	"2"		12/30/1899 10:00:00	8.00			
25	"NB-720"	1/9/2015 0:00:00	12/30/1899 10:27:00	"1"		12/30/1899 10:00:00	10.40	"38.225983"	"-122.60905"	
26	"NB-750"	1/9/2015 0:00:00	12/30/1899 11:22:00	"1"		12/30/1899 5:00:00	6.83	"38.214533"	"-122.583167"	
27	"NB-772"	1/9/2015 0:00:00	12/30/1899 12:07:00	"1"		12/30/1899 10:00:00	6.83	"38.209383"	"-122.565417"	
