"RecordNumber"	"StationName"	"Date"	"Survey"	"Replicate"	"Tide"	"Tide Height"	"SalinityZone"	"Temp(C)StartTop"	"Conductivity(uS/cm)StartTop"	"Salinity(ppt)StartTop"	"DOSat(Percent)StartTop"	"DOSat(mg/L)StartTop"	"Chl(ug/L)StartTop"	"Chl(RFU)StartTop"	"Temp(C)StartBottom"	"Conductivity(uS/cm)StartBottom"	"Salinity(ppt)StartBottom"	"DOSat(Percent)StartBottom"	"DOSat(mg/L)StartBottom"	"Chl(ug/L)StartBottom"	"Chl(RFU)StartBottom"	"Temp(C)EndTop"	"Conductivity(uS/cm)EndTop"	"Salinity(ppt)EndTop"	"DOSat(Percent)EndTop"	"DOSat(mg/L)EndTop"	"Chl(ug/L)EndTop"	"Chl(RFU)EndTop"	"Temp(C)EndBottom"	"Conductivity(uS/cm)EndBottom"	"Salinity(ppt)EndBottom"	"DOSat(Percent)EndBottom"	"DOSat(mg/L)EndBottom"	"Chl(ug/L)EndBottom"	"Chl(RFU)EndBottom"	"StartSecchi(cm)"	"EndSecchi(cm)"	"StartNTU"	"EndNTU"	"StartpH"	"EndpH"	"Comments"	"WQStartFile"	"WQEndFile"
2	"NB-252"	1/3/2015 0:00:00	"1"	"1"			"2: 4-6.99"	7.40	5688.00	4.80	84.30	9.85																								21.00						"10° angle on cable"		
3	"NB-520"	1/3/2015 0:00:00	"1"	"1"			"1: 1-3.99"	6.80	1930.00	2.00	86.60	10.60																								22.00								
4	"NB-570"	1/3/2015 0:00:00	"1"	"1"			"2: 4-6.99"	7.10	5121.00	4.20	84.00	10.03																																
10	"SB-400"	1/4/2015 0:00:00	"1"	"1"	"Flooding"		"1: 1-3.99"	16.70	4560.00	2.90	72.20	6.97										19.20	2153.00	1.30	73.60	6.87										77.00						"1.5 mph target. Step oblique 2 min intervals. Treatment outflow confliceted with tide movement"		
11	"SB-410"	1/4/2015 0:00:00	"1"	"1"	"Flooding"		"4: >10"	10.30	16761.00	14.10	84.77	8.81										9.80	17874.00	15.30	73.30	7.67										33.00						"Step oblique 3 min intervals. 2 mph."		
12	"SB-140"	1/4/2015 0:00:00	"1"	"1"	"Flooding"		"4: >10"	8.90	19103.00	16.90	79.30	8.43										8.90	20784.00	18.50	77.80	8.11																"Step oblique 2 min intervals. 1.5 mph"		
13	"SB-130"	1/4/2015 0:00:00	"1"	"1"	"Flooding"		"4: >10"	9.00	19833.00	17.60	78.60	8.12										8.90																				"1.5 mph"		
14	"SB-720"	1/4/2015 0:00:00	"1"	"1"	"Flooding"		"4: >10"	9.30	19528.00	17.10	79.00	8.28										9.10	20642.00	18.30	73.40	7.60										20.00						"Retained .5 of sample"		
22	"SB-140"	1/4/2015 0:00:00	"1"	"2"	"Ebbing"		"4: >10"	9.40	23839.00	21.20	79.10	7.81																														"Step oblique at 2 min x2. 1.8 mph."		
23	"SB-130"	1/4/2015 0:00:00	"1"	"2"			"4: >10"	10.00	22298.00	19.40	84.10	8.51																														"Tide moving too fast to keep sled down far enough-no step. 1.0 mph. Retained .5 of sample."		
