"Date"	"Station"	"Tow"	"Fish Code"	"Catch"	"1/4 Subsampled"	"1/2 Subsampled"
4/24/1995 0:00:00	809	2	64	1	0	0
4/24/1995 0:00:00	809	3	66	1	0	0
4/24/1995 0:00:00	910	1	8	2	0	0
4/24/1995 0:00:00	910	2	8	1	0	0
4/24/1995 0:00:00	910	3	8	3	0	0
4/24/1995 0:00:00	912	1	8	7	0	0
4/24/1995 0:00:00	912	1	9	2	0	0
4/24/1995 0:00:00	912	1	26	1	0	0
4/24/1995 0:00:00	912	3	8	2	0	0
4/24/1995 0:00:00	912	3	9	1	0	0
4/24/1995 0:00:00	914	2	49	1	0	0
4/24/1995 0:00:00	915	1	28	1	0	0
4/24/1995 0:00:00	918	2	8	12	0	0
4/24/1995 0:00:00	918	3	8	4	0	0
4/24/1995 0:00:00	918	3	26	1	0	0
4/24/1995 0:00:00	918	3	64	1	0	0
4/25/1995 0:00:00	812	1	49	10	0	0
4/25/1995 0:00:00	812	2	49	6	0	0
4/25/1995 0:00:00	906	2	8	1	0	0
4/26/1995 0:00:00	513	1	28	1	0	0
4/26/1995 0:00:00	513	2	0	1	0	0
4/26/1995 0:00:00	703	1	49	1	0	0
4/26/1995 0:00:00	704	1	10	1	0	0
4/26/1995 0:00:00	704	2	0	1	0	0
4/26/1995 0:00:00	704	3	10	1	0	0
4/26/1995 0:00:00	704	3	22	1	0	0
4/26/1995 0:00:00	704	3	28	1	0	0
4/26/1995 0:00:00	704	3	49	2	0	0
4/26/1995 0:00:00	706	1	0	1	0	0
4/26/1995 0:00:00	706	2	0	6	0	0
4/26/1995 0:00:00	706	2	10	1	0	0
4/26/1995 0:00:00	706	2	22	1	0	0
4/26/1995 0:00:00	706	2	49	1	0	0
4/26/1995 0:00:00	706	2	67	1	0	0
4/26/1995 0:00:00	706	3	0	4	0	0
4/26/1995 0:00:00	706	3	22	1	0	0
4/26/1995 0:00:00	706	3	49	2	0	0
4/26/1995 0:00:00	706	3	64	1	0	0
4/26/1995 0:00:00	804	1	49	1	0	0
4/26/1995 0:00:00	804	2	10	1	0	0
4/27/1995 0:00:00	405	1	2	3	0	0
4/27/1995 0:00:00	405	1	10	111	0	0
4/27/1995 0:00:00	405	1	14	1	0	0
4/27/1995 0:00:00	405	1	20	2	0	0
4/27/1995 0:00:00	405	1	48	2	0	0
4/27/1995 0:00:00	405	1	99	1	0	0
4/27/1995 0:00:00	405	2	2	13	0	0
4/27/1995 0:00:00	405	2	10	63	0	0
4/27/1995 0:00:00	405	2	13	1	0	0
4/27/1995 0:00:00	405	2	14	2	0	0
4/27/1995 0:00:00	405	2	20	1	0	0
4/27/1995 0:00:00	405	2	48	4	0	0
4/27/1995 0:00:00	405	2	51	1	0	0
4/27/1995 0:00:00	405	3	2	3	0	0
4/27/1995 0:00:00	405	3	10	91	0	0
4/27/1995 0:00:00	405	3	14	7	0	0
4/27/1995 0:00:00	405	3	20	5	0	0
4/27/1995 0:00:00	405	3	48	2	0	0
4/27/1995 0:00:00	405	3	51	2	0	0
4/27/1995 0:00:00	405	3	66	1	0	0
4/27/1995 0:00:00	405	3	70	1	0	0
4/27/1995 0:00:00	418	1	0	3	0	0
4/27/1995 0:00:00	418	1	2	13	0	0
4/27/1995 0:00:00	418	1	10	137	0	0
4/27/1995 0:00:00	418	1	49	1	0	0
4/27/1995 0:00:00	418	1	52	1	0	0
4/27/1995 0:00:00	418	2	2	22	0	0
4/27/1995 0:00:00	418	2	10	192	0	0
4/27/1995 0:00:00	418	2	20	2	0	0
4/27/1995 0:00:00	418	2	49	1	0	0
4/27/1995 0:00:00	418	2	66	1	0	0
4/27/1995 0:00:00	418	3	2	30	0	0
4/27/1995 0:00:00	418	3	10	282	0	0
4/27/1995 0:00:00	418	3	49	1	0	0
4/27/1995 0:00:00	418	3	52	1	0	0
4/27/1995 0:00:00	520	1	3	1	0	0
4/27/1995 0:00:00	520	2	3	3	0	0
4/27/1995 0:00:00	602	1	3	3	0	0
4/27/1995 0:00:00	602	1	10	4	0	0
4/27/1995 0:00:00	602	1	20	4	0	0
4/27/1995 0:00:00	602	1	64	1	0	0
4/27/1995 0:00:00	602	2	0	1	0	0
4/27/1995 0:00:00	602	2	2	6	0	0
4/27/1995 0:00:00	602	2	10	35	0	0
4/27/1995 0:00:00	602	2	49	1	0	0
4/27/1995 0:00:00	602	3	2	2	0	0
4/27/1995 0:00:00	602	3	3	1	0	0
4/27/1995 0:00:00	602	3	10	25	0	0
4/27/1995 0:00:00	606	1	10	21	0	0
4/27/1995 0:00:00	606	1	20	8	0	0
4/27/1995 0:00:00	606	2	2	1	0	0
4/27/1995 0:00:00	606	2	3	1	0	0
4/27/1995 0:00:00	606	2	10	26	0	0
4/27/1995 0:00:00	606	2	20	3	0	0
4/27/1995 0:00:00	606	2	49	10	0	0
4/27/1995 0:00:00	606	2	70	2	0	0
4/27/1995 0:00:00	606	3	10	17	0	0
4/27/1995 0:00:00	606	3	20	6	0	0
4/27/1995 0:00:00	609	1	10	3	0	0
4/27/1995 0:00:00	609	1	20	1	0	0
4/27/1995 0:00:00	609	1	66	2	0	0
4/27/1995 0:00:00	609	2	10	2	0	0
4/27/1995 0:00:00	609	2	20	6	0	0
4/27/1995 0:00:00	609	2	49	1	0	0
4/27/1995 0:00:00	609	3	8	1	0	0
4/27/1995 0:00:00	609	3	10	5	0	0
4/27/1995 0:00:00	609	3	20	1	0	0
4/27/1995 0:00:00	609	3	66	1	0	0
4/27/1995 0:00:00	610	1	0	1	0	0
4/27/1995 0:00:00	610	1	10	1	0	0
4/27/1995 0:00:00	610	2	0	1	0	0
4/27/1995 0:00:00	610	2	10	2	0	0
4/27/1995 0:00:00	610	2	66	1	0	0
4/27/1995 0:00:00	610	3	10	1	0	0
4/27/1995 0:00:00	610	3	20	1	0	0
4/27/1995 0:00:00	610	3	49	2	0	0
4/28/1995 0:00:00	323	1	0	1	0	0
4/28/1995 0:00:00	323	1	2	116	0	0
4/28/1995 0:00:00	323	1	10	65	0	0
4/28/1995 0:00:00	323	1	14	10	0	0
4/28/1995 0:00:00	323	1	19	1	0	0
4/28/1995 0:00:00	323	1	48	2	0	0
4/28/1995 0:00:00	323	1	49	3	0	0
4/28/1995 0:00:00	323	1	51	1	0	0
4/28/1995 0:00:00	323	1	52	6	0	0
4/28/1995 0:00:00	323	2	2	70	0	0
4/28/1995 0:00:00	323	2	10	48	0	0
4/28/1995 0:00:00	323	2	14	13	0	0
4/28/1995 0:00:00	323	2	15	1	0	0
4/28/1995 0:00:00	323	2	19	1	0	0
4/28/1995 0:00:00	323	2	52	4	0	0
4/28/1995 0:00:00	323	3	2	56	0	0
4/28/1995 0:00:00	323	3	10	71	0	0
