"Common Name"	"Genus"	"Species"	"Family"	"Fish Code"	"Symbol"	"TNS Field"	"MWT Species Code"	"MWT Field"
"longfin smelt"	"Spirinchus"	"thaleichthys"	"Osmeridae"	2	"LFS"	"LGFNSMLT"	25.00	"LNGFSMLT"
"delta smelt"	"Hypomesus"	"transpacificus"	"Osmeridae"	3	"DS"	"DLTASMLT"	24.00	"DLTASMLT"
"wakasagi"	"Hypomesus"	"nipponensis"	"Osmeridae"	67	"WK"	"WAKASAGI"	93.00	"WAKASAGI"
"American shad"	"Alosa"	"sapidissima"	"Clupeidae"	5	"AS"	"AMERSHAD"	19.00	"AMERSHAD"
"threadfin shad"	"Dorosoma"	"petenense"	"Clupeidae"	6	"TFS"	"THREADFN"	20.00	"TFINSHAD"
"Pacific herring"	"Clupea"	"pallasi"	"Clupeidae"	52	"PH"	"PHERRING"	16.00	"PHERRING"
"white catfish"	"Ameiurus"	"catus"	"Ictaluridae"	8	"WCF"	"WHTCATFS"	5.00	"WHITECAT"
"channel catfish"	"Ictalurus"	"punctatus"	"Ictaluridae"	9	"CCF"	"CHANLCAT"	4.00	"CHANLCAT"
"brown bullhead"	"Ameiurus"	"nebulosus"	"Ictaluridae"	54	"BRB"	"BRNBULLH"	69.00	"BRNBULHD"
"yellowfin goby"	"Acanthogobius"	"flavimanus"	"Gobiidae"	10	"YFG"	"YELFGOBY"	42.00	"YELFGOBY"
"tidewater goby"	"Eucyclogobius"	"newberryi"	"Gobiidae"	12	"TWG"	"TIDEGOBY"		
"arrow goby"	"Clevelandia"	"ios"	"Gobiidae"	13	"AG"	"AROWGOBY"	76.00	"AROWGOBY"
"chameleon goby"	"Tridentiger"	"trigonocephalus"	"Gobiidae"	58	"CG"	"CAMLGOBY"	92.00	"CAMLGOBY"
"shimofuri goby"	"Tridentiger"	"bifasciatus"	"Gobiidae"	66	"SG"	"SHIMGOBY"	95.00	"SHIMGOBY"
"bay goby"	"Lepidogobius"	"lepidus"	"Gobiidae"	59	"BG"	"BAYGOBY"	74.00	"BAYGOBY"
"northern anchovy"	"Engraulis"	"mordax"	"Engraulidae"	14	"NA"	"NANCHOVY"	13.00	"NANCHOVY"
"chinook salmon"	"Oncorhynchus"	"tshawytscha"	"Salmonidae"	15	"CS"	"CHINSALM"	9.00	"CHINSALM"
"steelhead"	"Oncorhynchus"	"mykiss"	"Salmonidae"	55	"STH"		32.00	"STEELHED"
"striped bass adult"	"Morone"	"saxatilis"	"Moronidae"		"SB"		34.00	"STPBASS1"
"starry flounder"	"Platichthys"	"stellatus"	"Pleuronectidae"	19	"STF"	"STARYFLD"	31.00	"STRFLNDR"
"three spine stickleback"	"Gasterosteus"	"aculeatus"	"Gasterosteidae"	20	"STB"	"STICKLEB"	38.00	"STCKL3SP"
"white sturgeon"	"Acipenser"	"transmontanus"	"Acipenseridae"	22	"WST"	"WHTSTURG"	37.00	"WHTSTURG"
"green sturgeon"	"Acipenser"	"medirostrus"	"Acipenseridae"	23	"GST"	"GRNSTURG"	36.00	"GRNSTURG"
"golden shiner"	"Notemigonus"	"crysoleucas"	"Cyprinidae"	25	"GSH"	"GOLDSHNR"	65.00	"GOLDSHNR"
"carp"	"Cyprinus"	"carpio"	"Cyprinidae"	26	"CP"	"CARP"	3.00	"CARP"
"goldfish"	"Carassius"	"auratus"	"Cyprinidae"	27	"GF"	"GOLDFISH"	64.00	"GOLDFISH"
"splittail"	"Pogonichthys"	"macrolepidotus"	"Cyprinidae"	28	"ST"	"SPLITAIL"	29.00	"SPLITAIL"
"hardhead"	"Mylopharodon"	"conocephalus"	"Cyprinidae"	29	"HH"	"HARDHEAD"		
"Sacramento pikeminnow"	"Ptychocheilus"	"grandis"	"Cyprinidae"	30	"SQ"	"SACSQUAW"	63.00	"SACSQUAW"
"hitch"	"Lavinia"	"exilicauda"	"Cyprinidae"	57	"HIT"	"HITCH"	61.00	"HITCH"
"topsmelt"	"Atherinops"	"affinis"	"Atherinopsidae"	33	"TSM"	"TOPSMELT"	39.00	"TOPSMELT"
"jacksmelt"	"Atherinopsis"	"californiensis"	"Atherinopsidae"	34	"JS"	"JACKSMLT"	8.00	"JACKSMLT"
"inland silverside"	"Menidia"	"beryllina"	"Atherinopsidae"	53	"ISS"	"INLDSLVR"	12.00	"INLSLVER"
"bay pipefish"	"Syngnathus"	"leptorhynchus"	"Syngnathidae"	35	"BPF"	"BAYPIPE"	71.00	"BAYPIPEF"
"redear sunfish"	"Lepomis"	"microlophus"	"Centrarchidae"	56	"RES"			
"green sunfish"	"Lepomis"	"cyanellus"	"Centrarchidae"	37	"GSF"	"GRNSUNF"	53.00	"GRNSNFSH"
"bluegill sunfish"	"Lepomis"	"macrochirus"	"Centrarchidae"	38	"BGS"	"BLUEGILL"	52.00	"BLUEGILL"
"largemouth bass"	"Micropterus"	"salmoides"	"Centrarchidae"	39	"LMB"	"LRGMBASS"	55.00	"LMTHBASS"
"white crappie"	"Pomoxis"	"annularis"	"Centrarchidae"	40	"WC"	"WHTCRAPP"	7.00	"WHTCRAPP"
"black crappie"	"Pomoxis"	"nigromaculatus"	"Centrarchidae"	41	"BC"	"BLKCRAP"	6.00	"BLKCRAPP"
"Sacramento perch"	"Archoplites"	"interruptus"	"Centrarchidae"	42	"SP"	"SACPERCH"	51.00	"SACPERCH"
"mosquitofish"	"Gambusia"	"affinis"	"Poeciliidae"	31	"GAM"	"MOSQUITO"	70.00	"MOSQUITO"
"bigscale logperch"	"Percina"	"macrolepida"	"Percidae"	44	"BLP"	"LOGPERCH"	72.00	"BSCALELG"
"tule perch"	"Hysterocarpus"	"traski"	"Embiotocidae"	46	"TP"	"TULEPRCH"	40.00	"TULEPRCH"
"shiner perch"	"Cymatogaster"	"aggregata"	"Embiotocidae"	47	"SHP"	"SHNRPRCH"	21.00	"SHNRPRCH"
"Pacific staghorn sculpin"	"Leptocottus"	"armatus"	"Cottidae"	48	"SSC"	"STAGHORN"	30.00	"PSTGSCLP"
"prickly sculpin"	"Cottus"	"asper"	"Cottidae"	49	"PSC"	"PRKSCULP"	73.00	"PRCKSCUL"
