"Date"	"Station"	"Tow"	"Time"	"Tide"	"Bottom Depth"	"Cable Out"	"Duration"	"Net Meter Serial"	"Net Meter Start"	"Net Meter End"	"Net Meter Check"	"CB Meter Serial"	"CB Meter Start"	"CB Meter End"	"CB Meter Check"	"Comments"
4/24/1995 0:00:00	809	1	12/30/1899 7:21:00	"2"	33	200	10.00	10369	939271	964114	24843	12346	726184	749794	23610	
4/24/1995 0:00:00	809	2	12/30/1899 7:40:00	"2"	33	200	10.00	10369	964114	987436	23322					
4/24/1995 0:00:00	809	3	12/30/1899 7:55:00	"2"	33	200	10.00	10369	987436	9955	22519					
4/24/1995 0:00:00	901	1	12/30/1899 8:27:00	"2"	8	50	10.00	10369	9958	31661	21703	12346	792044	812324	20280	
4/24/1995 0:00:00	901	2	12/30/1899 8:44:00	"2"	8	50	10.00	10369	31661	54339	22678					
4/24/1995 0:00:00	901	3	12/30/1899 8:59:00	"2"	8	50	10.00	10369	54339	76490	22151					
4/24/1995 0:00:00	902	1	12/30/1899 9:20:00	"3"	26	150	10.00	10369	76500	100102	23602	12346	0	14071	14071	"Lost CB meter.  Used avg meter for 902"
4/24/1995 0:00:00	902	2	12/30/1899 9:40:00	"3"	26	150	10.00	10369	100102	124512	24410					
4/24/1995 0:00:00	902	3	12/30/1899 9:55:00	"3"	26	150	10.00	10369	124512	148820	24308					
4/24/1995 0:00:00	910	1	12/30/1899 14:25:00	"4"	36	150	10.00	10369	365719	388804	23085	11732	993030	1008347	15317	
4/24/1995 0:00:00	910	2	12/30/1899 14:40:00	"4"	36	150	10.00	10369	388804	412473	23669					
4/24/1995 0:00:00	910	3	12/30/1899 14:55:00	"4"	36	150	10.00	10369	412473	434743	22270					
4/24/1995 0:00:00	912	1	12/30/1899 15:25:00	"4"	40	200	10.00	10369	434750	458550	23800	11732	39147	56297	17150	
4/24/1995 0:00:00	912	2	12/30/1899 15:43:00	"1"	40	200	10.00	10369	458550	482107	23557					
4/24/1995 0:00:00	912	3	12/30/1899 15:58:00	"1"	40	200	10.00	10369	482107	505412	23305					
4/24/1995 0:00:00	914	1	12/30/1899 13:00:00	"4"	30	150	10.00	10369	294578	317806	23228	11732	942704	958877	16173	
4/24/1995 0:00:00	914	2	12/30/1899 13:18:00	"4"	30	150	10.00	10369	317806	342050	24244					
4/24/1995 0:00:00	914	3	12/30/1899 13:33:00	"4"	30	150	10.00	10369	342050	365780	23730					
4/24/1995 0:00:00	915	1	12/30/1899 10:25:00	"4"	25	150	10.00	10369	148837	173989	25152	11732	850227	868507	18280	
4/24/1995 0:00:00	915	2	12/30/1899 10:43:00	"4"	25	150	10.00	10369	173989	197470	23481					
4/24/1995 0:00:00	915	3	12/30/1899 11:05:00	"4"	25	150	10.00	10369	197470	222150	24680					
4/24/1995 0:00:00	918	1	12/30/1899 11:40:00	"4"	25	150	10.00	10369	222211	246414	24203	11732	896364	912717	16353	
4/24/1995 0:00:00	918	2	12/30/1899 11:59:00	"4"	25	150	10.00	10369	246414	270399	23985	11732				
4/24/1995 0:00:00	918	3	12/30/1899 12:17:00	"4"	25	150	10.00	10369	270399	294574	24175					
4/25/1995 0:00:00	705	1	12/30/1899 15:50:00	"2"	20	100	10.00	10369	912993	935307	22314	11732	363544	382177	18633	
4/25/1995 0:00:00	705	2	12/30/1899 16:06:00	"2"	20	100	10.00	10369	935307	959179	23872					
4/25/1995 0:00:00	705	3	12/30/1899 16:20:00	"2"	20	100	10.00	10369	959179	981330	22151					
4/25/1995 0:00:00	707	1	12/30/1899 14:55:00	"2"	30	150	10.00	10369	840444	864561	24117	11732	299694	315454	15760	
4/25/1995 0:00:00	707	2	12/30/1899 15:12:00	"2"	30	150	10.00	10369	864561	889213	24652					
4/25/1995 0:00:00	707	3	12/30/1899 15:27:00	"2"	30	150	10.00	10369	889213	912993	23780					
4/25/1995 0:00:00	711	1	12/30/1899 13:56:00	"2"	15	75	10.00	10369	771056	794335	23279	11732	247370	265838	18468	
4/25/1995 0:00:00	711	2	12/30/1899 14:13:00	"2"	15	75	10.00	10369	794335	817747	23412					
4/25/1995 0:00:00	711	3	12/30/1899 14:28:00	"2"	15	75	10.00	10369	817747	840444	22697					
4/25/1995 0:00:00	716	1	12/30/1899 13:07:00	"4"	42	200	10.00	10369	745053	771056	26003	11732	228884	247370	18486	
4/25/1995 0:00:00	812	1	12/30/1899 11:45:00	"4"	20	75	10.00	10369	705258	726001	20743	11732	211404	227274	15870	
4/25/1995 0:00:00	812	2	12/30/1899 12:00:00	"4"	20	75	10.00	10369	726001	745053	19052					
4/25/1995 0:00:00	815	1	12/30/1899 10:48:00	"3"	11	50	10.00	10369	641183	662330	21147	11732	180797	196193	15396	
4/25/1995 0:00:00	815	2	12/30/1899 11:03:00	"3"	11	50	10.00	10369	662330	683709	21379					
4/25/1995 0:00:00	815	3	12/30/1899 11:18:00	"3"	11	50	10.00	10369	683709	705258	21549					
4/25/1995 0:00:00	906	1	12/30/1899 9:53:00	"2"	36	150	10.00	10369	572469	594907	22438	11732	130987	146084	15097	
4/25/1995 0:00:00	906	2	12/30/1899 10:05:00	"2"	36	150	10.00	10369	594907	617871	22964					
4/25/1995 0:00:00	906	3	12/30/1899 10:23:00	"2"	36	150	10.00	10369	617871	641183	23312					
4/25/1995 0:00:00	919	1	12/30/1899 7:50:00	"2"	18	100	10.00	10369	505516	528609	23093	11732	84064	99674	15610	
4/25/1995 0:00:00	919	2	12/30/1899 8:10:00	"2"	18	100	10.00	10369	528609	551140	22531					
4/25/1995 0:00:00	919	3	12/30/1899 8:25:00	"2"	18	100	10.00	10369	551140	572469	21329					
4/26/1995 0:00:00	513	1	12/30/1899 9:11:00	"2"	32	150	10.00	10369	115719	138617	22898	11732	443330	459314	15984	
4/26/1995 0:00:00	513	2	12/30/1899 9:28:00	"2"	32	150	10.00	10369	138617	162560	23943					
4/26/1995 0:00:00	513	3	12/30/1899 9:44:00	"2"	32	150	10.00	10369	162560	184358	21798					
4/26/1995 0:00:00	703	1	12/30/1899 12:17:00	"4"	5	50	10.00	10369	248872	271598	22726	11732	532393	549627	17234	
4/26/1995 0:00:00	703	2	12/30/1899 12:38:00	"4"	5	50	10.00	10369	271598	290550	18952					
4/26/1995 0:00:00	703	3	12/30/1899 12:51:00	"4"	5	50	10.00	10369	290550	311707	21157					
4/26/1995 0:00:00	704	1	12/30/1899 14:07:00	"4"	30	150	10.00	10369	372537	394445	21908	11732	625961	641697	15736	
4/26/1995 0:00:00	704	2	12/30/1899 14:22:00	"4"	30	150	10.00	10369	394445	415527	21082					
4/26/1995 0:00:00	704	3	12/30/1899 14:37:00	"4"	30	150	10.00	10369	415527	437240	21713					
4/26/1995 0:00:00	706	1	12/30/1899 13:17:00	"4"	30	150	10.00	10369	311707	330849	19142	11732	579900	594224	14324	
4/26/1995 0:00:00	706	2	12/30/1899 13:35:00	"4"	30	150	10.00	10369	330849	351207	20358					
4/26/1995 0:00:00	706	3	12/30/1899 13:46:00	"4"	30	150	10.00	10369	351207	372537	21330					
4/26/1995 0:00:00	801	1	12/30/1899 8:15:00	"2"	20	100	10.00	10369	50043	72109	22066	11732	419854	435557	15703	
4/26/1995 0:00:00	801	2	12/30/1899 8:31:00	"2"	20	100	10.00	10369	72109	94034	21925					
4/26/1995 0:00:00	801	3	12/30/1899 8:47:00	"2"	20	100	10.00	10369	94034	115719	21685					
4/26/1995 0:00:00	802	1	12/30/1899 11:20:00	"4"	5	50	10.00	10369	184358	206988	22630	11732	493950	512544	18594	
4/26/1995 0:00:00	802	2	12/30/1899 11:42:00	"4"	5	50	10.00	10369	206988	228115	21127					
4/26/1995 0:00:00	802	3	12/30/1899 12:00:00	"4"	5	50	10.00	10369	228115	248872	20757					
4/26/1995 0:00:00	804	1	12/30/1899 7:15:00	"2"	42	200	10.00	10369	981372	4779	23407	11732	397907	415859	17952	
4/26/1995 0:00:00	804	2	12/30/1899 7:34:00	"2"	42	200	10.00	10369	4779	28737	23958					
4/26/1995 0:00:00	804	3	12/30/1899 7:50:00	"2"	42	200	10.00	10369	28737	50043	21306					
4/27/1995 0:00:00	405	1	12/30/1899 13:34:00	"4"	15	100	10.00	10369	804033	824539	20506	11732	910910	926404	15494	
4/27/1995 0:00:00	405	2	12/30/1899 13:50:00	"4"	15	100	10.00	10369	824539	845049	20510					
4/27/1995 0:00:00	405	3	12/30/1899 14:05:00	"4"	15	100	10.00	10369	845049	864199	19150					
4/27/1995 0:00:00	418	1	12/30/1899 12:40:00	"4"	35	150	10.00	10369	743030	762832	19802	11732	865467	880538	15071	
4/27/1995 0:00:00	418	2	12/30/1899 12:55:00	"4"	35	150	10.00	10369	762832	782372	19540					
4/27/1995 0:00:00	418	3	12/30/1899 13:10:00	"4"	35	150	10.00	10369	782372	804023	21651					
4/27/1995 0:00:00	520	1	12/30/1899 7:32:00	"2"	36	150	10.00	10369	437247	459559	22312	11732	665607	682790	17183	"EC estimated"
4/27/1995 0:00:00	520	2	12/30/1899 7:50:00	"2"	36	150	10.00	10369	459559	481386	21827					"EC estimated"
4/27/1995 0:00:00	520	3	12/30/1899 8:10:00	"2"	36	150	10.00	10369	481386	502179	20793					"EC estimated"
4/27/1995 0:00:00	602	1	12/30/1899 11:40:00	"4"	6	50	10.00	10369	682590	703686	21096	11732	813117	830007	16890	
4/27/1995 0:00:00	602	2	12/30/1899 11:55:00	"4"	6	50	10.00	10369	703686	724392	20706					
4/27/1995 0:00:00	602	3	12/30/1899 12:13:00	"4"	6	50	10.00	10369	724392	743026	18634					
4/27/1995 0:00:00	606	1	12/30/1899 10:45:00	"4"	20	100	10.00	10369	631929	652950	21021	11732	780457	794467	14010	
4/27/1995 0:00:00	606	2	12/30/1899 11:00:00	"4"	20	100	10.00	10369	652950	669494	16544					
4/27/1995 0:00:00	606	3	12/30/1899 11:20:00	"4"	20	100	5.00	10369	669494	682590	13096					
4/27/1995 0:00:00	609	1	12/30/1899 9:40:00	"2"	26	125	10.00	10369	563920	586481	22561	11732	733204	748644	15440	
4/27/1995 0:00:00	609	2	12/30/1899 9:55:00	"2"	26	125	10.00	10369	586481	608957	22476					
4/27/1995 0:00:00	609	3	12/30/1899 10:10:00	"2"	26	125	10.00	10369	608957	631930	22973					
4/27/1995 0:00:00	610	1	12/30/1899 8:40:00	"2"	12	50	10.00	10369	502186	522408	20222	11732	684530	700897	16367	
