"Survey"	"Date"	"Station"	"Temp"	"Top EC"	"Bottom EC"	"Secchi"	"Turbidity"	"Latitude"	"Longitude"	"Comments"
1	4/24/1995 0:00:00	809	15.00	169	162	72				
1	4/24/1995 0:00:00	901	15.90	199	207	144				
1	4/24/1995 0:00:00	902	16.30	242	243	70				
1	4/24/1995 0:00:00	910	18.90	213	203	56				
1	4/24/1995 0:00:00	912	18.70	212	193	38				
1	4/24/1995 0:00:00	914	17.80	233	236	68				
1	4/24/1995 0:00:00	915	16.10	200	216	48				
1	4/24/1995 0:00:00	918	17.30	191	191	48				
1	4/25/1995 0:00:00	705	15.70	147	147	56				
1	4/25/1995 0:00:00	707	15.70	152	153	45				
1	4/25/1995 0:00:00	711	15.00	135	140	55				
1	4/25/1995 0:00:00	716	16.50	260	263	34				
1	4/25/1995 0:00:00	812	15.80	167	170	77				
1	4/25/1995 0:00:00	815	16.00	125	132	85				
1	4/25/1995 0:00:00	906	15.90	205	201	68				
1	4/25/1995 0:00:00	919	14.80	131	137	87				
1	4/26/1995 0:00:00	513	15.40	198	180	53				
1	4/26/1995 0:00:00	703	16.50	158	164	62				
1	4/26/1995 0:00:00	704	15.90	170	161	43				
1	4/26/1995 0:00:00	706	16.60	169	163	51				
1	4/26/1995 0:00:00	801	15.90	189	192	51				
1	4/26/1995 0:00:00	802	18.00	242	219	82				
1	4/26/1995 0:00:00	804	14.30	198	204	66				
1	4/27/1995 0:00:00	405	15.90	1390	4272	10				
1	4/27/1995 0:00:00	418	16.00	233	262	20				
1	4/27/1995 0:00:00	520	16.00	189	190	52				
1	4/27/1995 0:00:00	602	16.00	195	198	30				
1	4/27/1995 0:00:00	606	16.00	680	705	17				
1	4/27/1995 0:00:00	609	16.00	574	602	25				
1	4/27/1995 0:00:00	610	15.80	479	467	30				
1	4/28/1995 0:00:00	323	15.00	15408	15429	14				
1	4/28/1995 0:00:00	340	16.00	7514	7560	22				
1	4/28/1995 0:00:00	411	15.50	221	365	41				
1	4/28/1995 0:00:00	501	15.50	185	186	38				
1	4/28/1995 0:00:00	504	16.00	186	193	50				
1	4/28/1995 0:00:00	508	15.70	189	184	52				
1	4/28/1995 0:00:00	519	15.50	175	174	48				
2	5/8/1995 0:00:00	809	16.50			105				
2	5/8/1995 0:00:00	901	17.00			168				
2	5/8/1995 0:00:00	902	17.80			86				
2	5/8/1995 0:00:00	910	19.50			48				
2	5/8/1995 0:00:00	912	18.00			45				
2	5/8/1995 0:00:00	914	18.90			79				
2	5/9/1995 0:00:00	705	15.00	150	135	53				
2	5/9/1995 0:00:00	707	16.00	95	80	26				
2	5/9/1995 0:00:00	711	15.20	90	63	57				
2	5/9/1995 0:00:00	716	16.00	93	87	20				
2	5/9/1995 0:00:00	812	16.10	95	89	70				
2	5/9/1995 0:00:00	815	16.50	130	80	89				
2	5/9/1995 0:00:00	906	16.80	130	125	60				
2	5/9/1995 0:00:00	919	14.50	75	62	92				
2	5/10/1995 0:00:00	508	16.00	122	106	55				
2	5/10/1995 0:00:00	513	16.00	124	105	52				
2	5/10/1995 0:00:00	520	16.50	142	143	70				
2	5/10/1995 0:00:00	703	15.00	108	105	42				
2	5/10/1995 0:00:00	704	15.00	83	85	40				
2	5/10/1995 0:00:00	706	14.10	91	90	36				
2	5/10/1995 0:00:00	801	16.00	137	134	68				
2	5/10/1995 0:00:00	804	17.00	141	147	85				
2	5/11/1995 0:00:00	405	15.80	223	312	32				
2	5/11/1995 0:00:00	418	15.40	141	135	25				
2	5/11/1995 0:00:00	602	15.50	114	118	28				
2	5/11/1995 0:00:00	606	16.50	367	367	23				
