"ID"	"Date"	"Time"	"Replicate"	"TowDuration"	"Depth"	"Polygon.Station"	"Survey"	"TideText"	"TideHeight"	"BegSurfTemp"	"BegSurfCond"	"BegSurfSalin"	"BegSurfDO%"	"BegSurfDO(mg/L)"	"BegBotTemp"	"BegBotCond"	"BegBotSalin"	"BegBotDO%"	"BegBotDO(mg/L)"	"EndSurfTemp"	"EndSurfCond"	"EndSurfSalin"	"EndSurfDO%"	"EndSurfDO(mg/L)"	"EndBotTemp"	"EndBotCond"	"EndBotSalin"	"EndBotDO%"	"EndBotDO(mg/L)"	"BegSecchi"	"EndSecchi"	"BegNTU"	"EndNTU"	"BegPH"	"EndPH"	"Comments"	"Method"	"ARRGOB"	"BATRAY"	"BAYPIP"	"CALHAL"	"CALTON"	"CHEGOB"	"JACKSM"	"LONMUD"	"LONSME"	"MISSIL"	"NO CATCH"	"NORANC"	"PACHER"	"PACSAN"	"PACSSC"	"PLAMID"	"PRISCU"	"RAIKIL"	"SACSUC"	"SHIGOB"	"SHIPER"	"SHOGOB"	"SPLITT"	"STAFLO"	"STRBAS"	"THRSHA"	"THRSTI"	"TOPSME"	"UNID LARVAL"	"WALSUR"	"WHICRO"	"YELGOB"
"1"	2	"1/3/2015 0:00:00"	"12/30/1899 9:11:00"	1	10	4.2	"NB-252"	"1"	""	""	7.4	5688	4.8	84.3	9.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	NA	NA	NA	NA	NA	"10° angle on cable"	"SLS"	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67
"2"	3	"1/3/2015 0:00:00"	"12/30/1899 11:33:00"	1	10	5.71	"NB-520"	"1"	""	""	6.8	1930	2	86.6	10.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	NA	NA	NA	NA	NA	""	"SLS"	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
"3"	4	"1/3/2015 0:00:00"	"12/30/1899 12:14:00"	1	10	11.85	"NB-570"	"1"	""	""	7.1	5121	4.2	84	10.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	"SLS"	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	9	0	0	4
"4"	10	"1/4/2015 0:00:00"	"12/30/1899 8:40:00"	1	10	50	"SB-400"	"1"	"Flooding"	""	16.7	4560	2.9	72.2	6.97	NA	NA	NA	NA	NA	19.2	2153	1.3	73.6	6.87	NA	NA	NA	NA	NA	77	NA	NA	NA	NA	NA	"1.5 mph target. Step oblique 2 min intervals. Treatment outflow confliceted with tide movement"	"SLS"	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	69
"5"	11	"1/4/2015 0:00:00"	"12/30/1899 9:09:00"	1	10	12	"SB-410"	"1"	"Flooding"	""	10.3	16761	14.1	84.77	8.81	NA	NA	NA	NA	NA	9.8	17874	15.3	73.3	7.67	NA	NA	NA	NA	NA	33	NA	NA	NA	NA	NA	"Step oblique 3 min intervals. 2 mph."	"SLS"	124	0	0	0	0	0	0	372	0	0	0	0	56	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1232
"6"	12	"1/4/2015 0:00:00"	"12/30/1899 9:30:00"	1	10	7	"SB-140"	"1"	"Flooding"	""	8.9	19103	16.9	79.3	8.43	NA	NA	NA	NA	NA	8.9	20784	18.5	77.8	8.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Step oblique 2 min intervals. 1.5 mph"	"SLS"	0	0	0	0	0	0	0	128	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1104
"7"	13	"1/4/2015 0:00:00"	"12/30/1899 10:00:00"	1	10	11	"SB-130"	"1"	"Flooding"	""	9	19833	17.6	78.6	8.12	NA	NA	NA	NA	NA	8.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"1.5 mph"	"SLS"	0	0	0	0	0	0	0	32	0	0	0	0	7.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	527.63
"8"	14	"1/4/2015 0:00:00"	"12/30/1899 10:25:00"	1	5	7.75	"SB-720"	"1"	"Flooding"	""	9.3	19528	17.1	79	8.28	NA	NA	NA	NA	NA	9.1	20642	18.3	73.4	7.6	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	"Retained .5 of sample"	"SLS"	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108
"9"	22	"1/4/2015 0:00:00"	"12/30/1899 13:35:00"	2	10	10.8	"SB-140"	"1"	"Ebbing"	""	9.4	23839	21.2	79.1	7.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Step oblique at 2 min x2. 1.8 mph."	"SLS"	0	0	0	0	0	0	0	68	0	0	0	4	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	988
"10"	23	"1/4/2015 0:00:00"	"12/30/1899 13:55:00"	2	10	14	"SB-130"	"1"	""	""	10	22298	19.4	84.1	8.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Tide moving too fast to keep sled down far enough-no step. 1.0 mph. Retained .5 of sample."	"SLS"	0	0	0	0	0	0	0	14	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329
"11"	24	"1/4/2015 0:00:00"	"12/30/1899 14:20:00"	2	10	8	"SB-720"	"1"	"Ebbing"	""	10.5	21816	18.7	91.6	8.94	NA	NA	NA	NA	NA	10	22636	19.7	88.9	8.85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"1.0 Mph. Stepped oblique.  Steps at 2:30, 4:40.  Retained .25 of sample."	"SLS"	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108
"12"	25	"1/9/2015 0:00:00"	"12/30/1899 10:27:00"	1	10	10.4	"NB-720"	"1"	""	"2.82"	6.9	2748	1.7	93.6	8.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	NA	NA	NA	NA	NA	"A lot of veg, decomposing organic material"	"SLS"	0	0	0	0	0	0	0	0	1	0	0	0	66	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
"13"	27	"1/9/2015 0:00:00"	"12/30/1899 12:07:00"	1	10	6.83	"NB-772"	"1"	"Flooding"	"3.46"	8.3	4281	2.6	91	8.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	NA	NA	NA	NA	NA	""	"SLS"	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
"14"	29	"1/9/2015 0:00:00"	"12/30/1899 13:15:00"	1	10	11.1	"NB-800"	"1"	"Flooding"	"4.34"	8.28	7345	4.7	86	7.93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	NA	NA	NA	NA	NA	""	"SLS"	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
"15"	30	"1/9/2015 0:00:00"	"12/30/1899 14:19:00"	1	10	13.65	"NB-879"	"1"	"Flooding"	"5.09"	8.39	9808	6.4	92.4	8.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	NA	NA	NA	NA	NA	""	"SLS"	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	31
"16"	31	"1/9/2015 0:00:00"	"12/30/1899 15:30:00"	1	10	10.7	"NB-770"	"1"	""	"5.72"	8.44	9902	6.5	93	8.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	NA	NA	NA	NA	NA	""	"SLS"	0	0	0	0	0	0	0	1	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
"17"	32	"1/11/2015 0:00:00"	"12/30/1899 9:45:00"	1	10	5.05	"NB-212"	"1"	""	"2.76"	10	7776	6.2	74	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43	NA	NA	NA	NA	NA	"Edgerly Island station tide. 10:57 am, slack low +2.52"	"SLS"	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
"18"	33	"1/11/2015 0:00:00"	"12/30/1899 10:10:00"	1	10	15.8	"NB-220"	"1"	""	"2.62"	10.4	7924	6.3	79.8	8.6	NA	NA	NA	NA	NA	10.3	8580	6.8	81.5	8.8	NA	NA	NA	NA	NA	48	NA	NA	NA	NA	NA	"30° angle on cable"	"SLS"	0	0	0	0	0	0	0	1	4	0	0	1	306	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64
