"FishCode"	"CommonName"	"GenusSpecies"	"Family"	"Type"	"NatInv"	"FishInv"
"AMESHA"	"American shad"	"Alosa sapidissima"	"Clupeidae"	"F"	"Invasive"	"Fish"
"ARRGOB"	"arrow goby"	"Clevelandia ios"	"Gobiidae"	"F"	"Native"	"Fish"
"BARSUR"	"barred surfperch"	"Amphistichus argenteus"	"Embiotocidae"	"F"	"Native"	"Fish"
"BATRAY"	"bat ray"	"Myliobatis californica"	"Myliobatidae"	"F"	"Native"	"Fish"
"BAYGOB"	"bay goby"	"Lepidogobius lepidus"	"Gobiidae"	"F"	"Native"	"Fish"
"BAYPIP"	"bay pipefish"	"Syngnathus leptorhynchus"	"Syngnathidae"	"F"	"Native"	"Fish"
"BIGLOG"	"bigscale logperch"	"Percina macrolepida"	"Percidae"	"F"	"Native"	"Fish"
"BIGSKA"	"big skate"	"Raja binoculata"	"Rajidae"	"F"	"Native"	"Fish"
"BLABUL"	"black bullhead"	"Ameiurus melas"	"Ictaluridae"	"F"	"Invasive"	"Fish"
"BLACRA"	"black crappie"	"Pomoxis nigromaculatus"	"Centrarchidae"	"F"	"Invasive"	"Fish"
"BLAPER"	"black perch"	"Embiotoca jacksoni"	"Embiotocidae"	"F"	"Native"	"Fish"
"BLAROC"	"black rockfish"	"Sebastes melanops"	"Scorpaenidae"	"F"	"Native"	"Fish"
"BLUCAT"	"blue catfish"	"Ictalurus furcatus"	"Ictaluridae"	"F"	"Invasive"	"Fish"
"BLUEGI"	"bluegill"	"Lepomis macrochirus"	"Centrarchidae"	"F"	"Invasive"	"Fish"
"BLUROC"	"blue rockfish"	"Sebastes mystinus"	"Scorpaenidae"	"F"	"Native"	"Fish"
"BOCACC"	"bocaccio"	"Sebastes paucispinis"	"Scorpaenidae"	"F"	"Native"	"Fish"
"BONSCU"	"bonyhead sculpin"	"Artedius notospilotus"	"Cottidae"	"F"	"Native"	"Fish"
"BROBUL"	"brown bullhead"	"Ameiurus nebulosus"	"Ictaluridae"	"F"	"Invasive"	"Fish"
"BROILO"	"brown Irish lord"	"Hemilepidotus spinosus"	"Cottidae"	"F"	"Native"	"Fish"
"BROROC"	"brown rockfish"	"Sebastes auriculatus"	"Scorpaenidae"	"F"	"Native"	"Fish"
"BROSMO"	"brown smoothhound"	"Mustelus henlei"	"Triakidae"	"F"	"Native"	"Fish"
"BROSSH"	"broadnose sevengill shark"	"Notorynchus cepedianus"	"Hexanchidae"	"F"	"Native"	"Fish"
"BUFSCU"	"buffalo sculpin"	"Enophrys bison"	"Cottidae"	"F"	"Native"	"Fish"
"CABEZO"	"cabezon"	"Scorpaenichthys marmoratus"	"Cottidae"	"F"	"Native"	"Fish"
"CALHAL"	"California halibut"	"Paralichthys californicus"	"Paralichthyidae"	"F"	"Native"	"Fish"
"CALLIZ"	"California lizardfish"	"Synodus lucioceps"	"Synodontidae"	"F"	"Native"	"Fish"
"CALSUR"	"calico surfperch"	"Amphistichus koelzi"	"Embiotocidae"	"F"	"Native"	"Fish"
"CALTON"	"California tonguefish"	"Symphurus atricaudus"	"Cynoglossidae"	"F"	"Native"	"Fish"
"CHACAT"	"channel catfish"	"Ictalurus punctatus"	"Ictaluridae"	"F"	"Invasive"	"Fish"
"CHAGOB"	"chameleon goby"	"Tridentiger trigonocephalus"	"Gobiidae"	"F"	"Invasive"	"Fish"
"CHEGOB"	"cheekspot goby"	"Ilypnus gilberti"	"Gobiidae"	"F"	"Native"	"Fish"
"CHISAL"	"Chinook salmon"	"Oncorhynchus tshawytscha"	"Salmonidae"	"F"	"Native"	"Fish"
"COMCAR"	"common carp"	"Cyprinus carpio"	"Cyprinidae"	"F"	"Invasive"	"Fish"
"COSOLE"	"C-O sole"	"Pleuronichthys coenosus"	"Pleuronectidae"	"F"	"Native"	"Fish"
"CURSOL"	"curlfin sole"	"Pleuronichthys decurrens"	"Pleuronectidae"	"F"	"Native"	"Fish"
"DELSME"	"delta smelt"	"Hypomesus transpacificus"	"Osmeridae"	"F"	"Native"	"Fish"
"DIATUR"	"diamond turbot"	"Pleuronichthys guttulatus"	"Pleuronectidae"	"F"	"Native"	"Fish"
"DOVSOL"	"Dover sole"	"Microstomus pacificus"	"Pleuronectidae"	"F"	"Native"	"Fish"
"DWAPER"	"dwarf perch"	"Micrometrus minimus"	"Embiotocidae"	"F"	"Native"	"Fish"
"ENGSOL"	"English sole"	"Parophrys vetulus"	"Pleuronectidae"	"F"	"Native"	"Fish"
"EULACH"	"eulachon"	"Thaleichthys pacificus"	"Osmeridae"	"F"	"Native"	"Fish"
"GOLDFI"	"goldfish"	"Carassius auratus"	"Cyprinidae"	"F"	"Invasive"	"Fish"
"GRESTU"	"green sturgeon"	"Acipenser medirostris"	"Acipenseridae"	"F"	"Native"	"Fish"
"GRESUN"	"green sunfish"	"Lepomis cyanellus"	"Centrarchidae"	"F"	"Invasive"	"Fish"
"PACHER"	"Pacific herring"	"Clupea pallasii"	"Clupeidae"	"F"	"Native"	"Fish"
"HALFMO"	"halfmoon"	"Medialuna californiensis"	"Kyphosidae"	"F"	"Native"	"Fish"
"HITCH"	"hitch"	"Lavinia exilicauda"	"Cyprinidae"	"F"	"Native"	"Fish"
"HORTUR"	"hornyhead turbot"	"Pleuronichthys verticalis"	"Pleuronectidae"	"F"	"Native"	"Fish"
"HYBSOL"	"hybrid sole"	"Inopsetta ischyra..?"	"Pleuronectidae"	"F"	"Native"	"Fish"
"JACKSM"	"jacksmelt"	"Atherinopsis californiensis"	"Atherinopsidae"	"F"	"Native"	"Fish"
"KELGRE"	"kelp greenling"	"Hexagrammos decagrammus"	"Hexagrammidae"	"F"	"Native"	"Fish"
"LAMSPP"	"unidentified lamprey"	"Lampetra spp."	"Petromyzontidae"	"F"	"Native"	"Fish"
"LARBAS"	"largemouth bass"	"Micropterus salmoides"	"Centrarchidae"	"F"	"Invasive"	"Fish"
"LEOSHA"	"leopard shark"	"Triakis semifasciata"	"Triakidae"	"F"	"Native"	"Fish"
"LINGCO"	"lingcod"	"Ophiodon elongatus"	"Hexagrammidae"	"F"	"Native"	"Fish"
"LONMUD"	"longjaw mudsucker"	"Gillichthys mirabilis"	"Gobiidae"	"F"	"Native"	"Fish"
"LONSME"	"longfin smelt"	"Spirinchus thaleichthys"	"Osmeridae"	"F"	"Native"	"Fish"
"MINSPP"	"unidentified minnow"		"Cyprinidae"	"F"	"Unknown"	"Fish"
"MISSIL"	"Mississippi silverside"	"Menidia audens"	"Atherinopsidae"	"F"	"Invasive"	"Fish"
"MUSBLE"	"mussel blenny"	"Hypsoblennius jenkinsi"	"Blenniidae"	"F"	"Native"	"Fish"
"NORANC"	"Northern anchovy"	"Engraulis mordax"	"Engraulidae"	"F"	"Native"	"Fish"
"NIGSME"	"night smelt"	"Spirinchus starksi"	"Osmeridae"	"F"	"Native"	"Fish"
"ONEFRI"	"onespot fringehead"	"Neoclinus uninotatus"	"Chaenopsidae"	"F"	"Native"	"Fish"
"PACERA"	"Pacific electric ray"	"Torpedo californica"	"Torpedinidae"	"F"	"Native"	"Fish"
"PACLAM"	"Pacific lamprey"	"Lampetra tridentata"	"Petromyzontidae"	"F"	"Native"	"Fish"
"PACPOM"	"Pacific pompano"	"Peprilus simillimus"	"Stromateidae"	"F"	"Native"	"Fish"
"PACSAN"	"Pacific sanddab"	"Citharichthys sordidus"	"Paralichthyidae"	"F"	"Native"	"Fish"
"PACSAR"	"Pacific sardine"	"Sardinops sagax"	"Clupeidae"	"F"	"Native"	"Fish"
"PACSLA"	"Pacific sand lance"	"Ammodytes hexapterus"	"Ammodytidae"	"F"	"Native"	"Fish"
"PACSSC"	"Pacific staghorn sculpin"	"Leptocottus armatus"	"Cottidae"	"F"	"Native"	"Fish"
"PACTOM"	"Pacific tomcod"	"Microgadus proximus"	"Gadidae"	"F"	"Native"	"Fish"
"PACTOM"	"Pacific tomcod"	"Microgadus proximus"	"Gadidae"	"F"	"Native"	"Fish"
"PADSCU"	"padded sculpin"	"Artedius fenestralis"	"Cottidae"	"F"	"Native"	"Fish"
"PILPER"	"pile perch"	"Rhacochilus vacca"	"Embiotocidae"	"F"	"Native"	"Fish"
"PLAMID"	"plainfin midshipman"	"Porichthys notatus"	"Batrachoididae"	"F"	"Native"	"Fish"
"PRISCU"	"prickly sculpin"	"Cottus asper"	"Cottidae"	"F"	"Native"	"Fish"
"PYGPOA"	"pygmy poacher"	"Odontopyxis trispinosa"	"Agonidae"	"F"	"Native"	"Fish"
"QUEENF"	"queenfish"	"Seriphus politus"	"Sciaenidae"	"F"	"Native"	"Fish"
"RAIKIL"	"rainwater killifish"	"Lucania parva"	"Fundulidae"	"F"	"Native"	"Fish"
"RAISEA"	"rainbow seaperch"	"Hypsurus caryi"	"Embiotocidae"	"F"	"Native"	"Fish"
"RAITRO"	"steelhead"	"Oncorhynchus mykiss"	"Salmonidae"	"F"	"Native"	"Fish"
"REDILO"	"red Irish lord"	"Hemilepidotus hemilepidotus"	"Cottidae"	"F"	"Native"	"Fish"
"REDSUN"	"redear sunfish"	"Lepomis microlophus"	"Centrarchidae"	"F"	"Invasive"	"Fish"
"REDSUR"	"redtail surfperch"	"Amphistichus rhodoterus"	"Embiotocidae"	"F"	"Native"	"Fish"
"RIVLAM"	"river lamprey"	"Lampetra ayresii"	"Petromyzontidae"	"F"	"Native"	"Fish"
"ROCSPP"	"unidentified rockfish"	"Sebastes spp."	"Scorpaenidae"	"F"	"Native"	"Fish"
"RONSPP"	"unidentified ronquil"		"Bathymasteridae"	"F"	"Native"	"Fish"
"All"	"All"	"All"	"All"	"All"	"All"	"All"
"RUBSEA"	"rubberlip seaperch"	"Rhacochilus toxotes"	"Embiotocidae"	"F"	"Native"	"Fish"
"SACPIK"	"Sacramento pikeminnow"	"Ptychoceilus grandis"	"Cyprinidae"	"F"	"Native"	"Fish"
"SACSUC"	"Sacramento sucker"	"Catostomus occidentalis"	"Catostomidae"	"F"	"Native"	"Fish"
"SADGUN"	"saddleback gunnel"	"Pholis ornata"	"Pholidae"	"F"	"Native"	"Fish"
